timestamp,mx,my,mz,mAc
1475753709602,0,0,0,ACCURACY_BAD
1475753709683,50.15,9.84,43.61,ACCURACY_BAD
1475753709782,49.5,10.5,45.89,ACCURACY_BAD
1475753709881,49.5,8.69,44.63,ACCURACY_BAD
1475753709981,49.5,10.92,44.63,ACCURACY_BAD
1475753710080,48.11,9.84,45.71,ACCURACY_BAD
1475753710181,50.87,8.39,48.05,ACCURACY_BAD
1475753710281,52.97,4.85,49.73,ACCURACY_BAD
1475753710381,55.73,0.05,48.95,ACCURACY_BAD
1475753710479,59.93,-8.81,49.55,ACCURACY_BAD
1475753710581,61.31,-19.37,41.87,ACCURACY_BAD
1475753710678,65.51,-21.95,45.29,ACCURACY_BAD
1475753710781,66.23,-23.51,43.37,ACCURACY_BAD
1475753710876,66.9,-20.03,43.79,ACCURACY_BAD
1475753710981,65.51,-18.71,42.05,ACCURACY_BAD
1475753711076,67.61,-19.31,32.7,ACCURACY_BAD
1475753711180,62.03,-19.73,36.05,ACCURACY_BAD
1475753711277,59.93,-20.34,38.04,ACCURACY_BAD
1475753711381,60.65,-20.15,37.38,ACCURACY_BAD
1475753711478,63.41,-17.45,38.27,ACCURACY_BAD
1475753711577,64.86,-20.27,40.2,ACCURACY_BAD
1475753711675,68.33,-20.57,36.54,ACCURACY_BAD
1475753711778,70.43,-26.93,38.04,ACCURACY_BAD
1475753711875,72.47,-26.51,34.61,ACCURACY_BAD
1475753711980,73.19,-27.59,33.54,ACCURACY_BAD
1475753712075,73.91,-22.97,37.13,ACCURACY_BAD
1475753712177,76.01,-13.79,35.93,ACCURACY_BAD
1475753712276,72.47,-18.77,24.29,ACCURACY_BAD
1475753712378,62.75,-30.59,22.61,ACCURACY_BAD
1475753712475,43.91,-29.63,26.45,ACCURACY_BAD
1475753712578,38.34,-21.47,21.29,ACCURACY_BAD
1475753712675,43.91,-23.21,20.03,ACCURACY_BAD
1475753712778,58.55,-27.18,18.77,ACCURACY_BAD
1475753712874,69,-24.18,14.03,ACCURACY_BAD
1475753712975,72.47,-12.71,21.29,ACCURACY_BAD
1475753713073,71.81,-11.63,20.27,ACCURACY_BAD
1475753713175,72.47,-8.22,16.37,ACCURACY_BAD
1475753713273,66.23,-17.87,1.19,ACCURACY_BAD
1475753713378,50.87,-39.41,4.85,ACCURACY_BAD
1475753713472,50.87,-41.39,17.69,ACCURACY_BAD
1475753713576,48.77,-39.84,17.45,ACCURACY_BAD
1475753713672,49.5,-36.95,21.95,ACCURACY_BAD
1475753713775,52.25,-37.68,19.61,ACCURACY_BAD
1475753713872,60.65,-41.15,17.03,ACCURACY_BAD
1475753713975,69,-43.25,12.17,ACCURACY_BAD
1475753714074,84.36,-38.52,6.53,ACCURACY_BAD
1475753714171,92.04,-34.43,2.87,ACCURACY_BAD
1475753714271,95.51,-30.05,2.93,ACCURACY_BAD
1475753714372,90.65,-29.45,12.35,ACCURACY_BAD
1475753714470,69.72,-33.71,5.27,ACCURACY_BAD
1475753714571,43.2,-42.23,4.61,ACCURACY_BAD
1475753714670,26.45,-35.27,3.35,ACCURACY_BAD
1475753714774,24.35,-35.88,5.27,ACCURACY_BAD
1475753714869,32.04,-44.93,1.62,ACCURACY_BAD
1475753714972,43.91,-57.77,-8.15,ACCURACY_BAD
1475753715069,62.75,-54.95,-34.86,ACCURACY_BAD
1475753715173,74.58,-35.88,-35.04,ACCURACY_BAD
1475753715270,76.01,-24.35,-36.95,ACCURACY_BAD
1475753715370,76.68,-20.63,-50.63,ACCURACY_BAD
1475753715469,71.09,-68.63,-48.53,ACCURACY_BAD
1475753715568,52.97,-64.55,-9.65,ACCURACY_BAD
1475753715667,50.15,-50.15,-9.23,ACCURACY_BAD
1475753715769,51.59,-49.68,5.03,ACCURACY_BAD
1475753715867,55.73,-51.41,3.77,ACCURACY_BAD
1475753715969,69.72,-52.5,9.11,ACCURACY_BAD
1475753716066,89.22,-50.09,21.95,ACCURACY_BAD
1475753716171,106.68,-34.55,23.51,ACCURACY_BAD
1475753716266,113.63,-21.53,30.53,ACCURACY_BAD
1475753716369,111.54,-18.47,41.45,ACCURACY_BAD
1475753716466,112.25,-17.27,53.21,ACCURACY_BAD
1475753716571,107.39,-20.69,59.21,ACCURACY_BAD
1475753716665,100.37,-15.77,66.47,ACCURACY_BAD
1475753716770,93.41,-26.03,64.55,ACCURACY_BAD
1475753716869,86.45,-34.38,45.47,ACCURACY_BAD
1475753716968,80.87,-24.84,31.55,ACCURACY_BAD
1475753717064,78.77,-13.79,20.27,ACCURACY_BAD
1475753717165,70.43,-8.88,14.03,ACCURACY_BAD
1475753717266,70.43,-3.48,12.96,ACCURACY_BAD
1475753717365,65.51,4.85,18.53,ACCURACY_BAD
1475753717466,65.51,11.46,22.79,ACCURACY_BAD
1475753717568,71.09,17.45,17.69,ACCURACY_BAD
1475753717663,85.73,16.44,18.77,ACCURACY_BAD
1475753717767,97.61,9.11,25.61,ACCURACY_BAD
1475753717862,96.9,8.09,30.95,ACCURACY_BAD
1475753717968,93.41,13.73,29.21,ACCURACY_BAD
1475753718062,82.25,22.92,30.05,ACCURACY_BAD
1475753718167,78.05,23.03,36.54,ACCURACY_BAD
1475753718262,74.58,23.76,38.87,ACCURACY_BAD
1475753718364,74.58,23.76,38.87,ACCURACY_BAD
1475753718462,80.15,24.84,39.95,ACCURACY_BAD
1475753718563,89.93,24.05,35.45,ACCURACY_BAD
1475753718662,96.9,12.3,33.71,ACCURACY_BAD
1475753718763,95.51,2.93,37.79,ACCURACY_BAD
1475753718861,94.79,2.03,38.21,ACCURACY_BAD
1475753718964,92.75,7.91,35.88,ACCURACY_BAD
1475753719060,85.08,19.85,30.53,ACCURACY_BAD
1475753719162,79.5,23.27,35.88,ACCURACY_BAD
1475753719261,74.58,25.85,36.71,ACCURACY_BAD
1475753719362,73.19,27.11,32.88,ACCURACY_BAD
1475753719475,77.4,24.71,31.43,ACCURACY_BAD
1475753719559,79.5,9.71,25.79,ACCURACY_BAD
1475753719664,82.25,2.33,28.37,ACCURACY_BAD
1475753719760,78.77,-10.19,31.43,ACCURACY_BAD
1475753719859,77.4,-14.27,32.93,ACCURACY_BAD
1475753719961,76.68,-13.67,33.11,ACCURACY_BAD
1475753720059,81.59,-6.29,28.37,ACCURACY_BAD
1475753720161,82.97,-0.41,28.13,ACCURACY_BAD
1475753720258,82.25,10.61,25.37,ACCURACY_BAD
1475753720360,80.87,11.63,24.35,ACCURACY_BAD
1475753720458,80.87,8.63,22.61,ACCURACY_BAD
1475753720559,84.36,-2.81,26.69,ACCURACY_BAD
1475753720658,78.05,-8.93,29.69,ACCURACY_BAD
1475753720763,71.09,-9.47,33.71,ACCURACY_BAD
1475753720857,69.72,-5.4,32.21,ACCURACY_BAD
1475753720960,67.61,-6.53,31.13,ACCURACY_BAD
1475753721069,71.09,-5.21,31.55,ACCURACY_BAD
1475753721156,71.81,-1.67,29.87,ACCURACY_BAD
1475753721256,76.68,-1.5,31.37,ACCURACY_BAD
1475753721356,76.68,3.48,31.61,ACCURACY_BAD
1475753721456,76.68,3.48,33.71,ACCURACY_BAD
1475753721560,75.29,3.95,32.39,ACCURACY_BAD
1475753721656,75.29,-0.59,30.95,ACCURACY_BAD
1475753721757,67.61,-0.41,26.03,ACCURACY_BAD
1475753721855,69.72,-0.41,26.87,ACCURACY_BAD
1475753721957,67.61,-1.79,25.61,ACCURACY_BAD
1475753722056,68.33,-3.29,25.79,ACCURACY_BAD
1475753722158,67.61,-3.11,25.19,ACCURACY_BAD
1475753722269,68.33,0.11,24.11,ACCURACY_BAD
1475753722354,67.61,-0.95,23.03,ACCURACY_BAD
1475753722456,70.43,0.35,23.51,ACCURACY_BAD
1475753722554,70.43,5.81,26.63,ACCURACY_BAD
1475753722654,70.43,6,26.03,ACCURACY_BAD
1475753722759,71.09,6.65,24.11,ACCURACY_BAD
1475753722856,69.72,3.59,22.37,ACCURACY_BAD
1475753722955,66.9,-0.77,20.27,ACCURACY_BAD
1475753723052,66.9,-5.33,20.87,ACCURACY_BAD
1475753723158,64.13,-12.35,31.37,ACCURACY_BAD
1475753723252,67.61,-9.35,44.39,ACCURACY_BAD
1475753723362,65.51,-6.89,48.05,ACCURACY_BAD
1475753723452,62.75,-8.34,52.55,ACCURACY_BAD
1475753723553,62.75,-16.85,51.95,ACCURACY_BAD
1475753723652,59.27,-26.34,47.45,ACCURACY_BAD
1475753723752,57.84,-33.41,40.13,ACCURACY_BAD
1475753723851,56.45,-34.91,26.87,ACCURACY_BAD
1475753723952,58.55,-31.55,16.61,ACCURACY_BAD
1475753724050,65.51,-31.73,21.6,ACCURACY_BAD
1475753724153,67.61,-32.34,25.61,ACCURACY_BAD
