,Unnamed: 0,sp_mean_ax,sp_mean_ay,sp_mean_az,sp_mean_acc_magnitude,sp_var_ax,sp_var_ay,sp_var_az,sp_var_acc_magnitude,sp_cov_a_xy,sp_cov_a_yz,sp_cov_a_xz,sp_cov_a_xmag,sp_cov_a_ymag,sp_cov_a_zmag,sp_energy_ax,sp_energy_ay,sp_energy_az,sp_energy_acc_magnitude,sp_entropy_ax,sp_entropy_ay,sp_entropy_az,sp_entropy_acc_magnitude,Unnamed: 0,sw_mean_ax,sw_mean_ay,sw_mean_az,sw_mean_acc_magnitude,sw_var_ax,sw_var_ay,sw_var_az,sw_var_acc_magnitude,sw_cov_a_xy,sw_cov_a_yz,sw_cov_a_xz,sw_cov_a_xmag,sw_cov_a_ymag,sw_cov_a_zmag,sw_energy_ax,sw_energy_ay,sw_energy_az,sw_energy_acc_magnitude,sw_entropy_ax,sw_entropy_ay,sw_entropy_az,sw_entropy_acc_magnitude
0,0,6.970698213577269,-6.307883469263714,1.3237541218598683,9.503662530482153,0.07831289076367859,0.05080661853900455,0.09214819228973846,0.02756176548587392,0.03750708584700691,-0.04529682419505495,-0.03386582103804344,0.02683044389799137,-0.010818290952634495,0.001921447047168884,0.9998887180924032,0.9822523065717762,1.1017141813965816,0.8906539351615353,2.8793871808145024,3.0570924632196714,2.9711000030330084,3.2129414591519603,0,7.599445064862568,1.5460824909309543,-4.845625178019206,10.064630678573609,10.386130139830508,8.37998342550102,3.9555921556550735,4.437459892430621,-3.6652072671958753,2.0065441037505205,-2.0918293475438325,5.9248993940715575,-1.3377310399481002,-0.39728587215615424,3.7571706818205945,3.3843573259357265,2.9061397548041192,3.002620202892635,3.1289771828689235,3.0334748083212615,3.0837597960504617,3.1179135457026703
1,1,6.8747905731201175,-6.424181811014812,1.4646329482396443,9.527805948646746,0.050246805985045384,0.03916421772317168,0.042420254707411634,0.0272666334869264,0.01877792215607239,-0.021728824911218074,-0.025338905727738132,0.02050001211291056,-0.016659867304475696,0.007507643966192367,1.01605081798094,0.9368759303310488,0.9687693079637189,0.8839572911420209,3.1679361154286174,3.1418704764212344,3.133535558702879,3.1675471289429784,1,7.204948365688324,3.103969550132752,-5.2648477156957,10.146225599502266,14.784024466240304,3.15711613453483,2.75143365222728,6.539438536303066,-1.5506474464839637,1.1972970298837189,0.9778427804119756,9.308976982403573,-0.9500227811944938,-0.2834229570914991,4.01143840266012,2.8682841545181827,2.520710433792793,3.2665074032957517,3.044355935969693,3.1766227455334644,2.97245425429322,3.0345069623466885
2,2,6.600454998016358,-6.750012763341267,0.7366160710652669,9.556530159177221,0.3193807443751369,0.4385178299454918,1.021143427449921,0.06595204211227039,0.32395151391878835,0.428261900591423,0.4917812257923799,-0.022614575156879202,-0.1051654657236093,-0.058098387123086265,1.5158098169345242,1.696207208951166,1.9307868790746336,1.1372290389083406,3.0506512098288816,3.11809370516805,2.9529467847383897,3.2785313771378912,2,7.975756478309631,2.6498117963473,-4.635296217600504,10.145149512744187,14.761026918811748,2.24306391809632,1.3438671565499605,7.171516282762076,-2.9204000087064554,2.29889330073044,0.0021625044466864808,9.819702154412873,-1.5593718506099914,1.0991147960392529,4.150957603828188,2.521084151541328,2.3125977772703847,3.4607465413309835,3.1360557269370126,3.075562324669383,3.1683797301741783,3.135682106295876
3,3,6.367139991124471,-7.071174987157186,-0.09409211998184522,9.56958546270686,0.22975597046444066,0.3532805467259735,0.543303646371765,0.06483129932022284,0.23030818800597425,0.21697827001770714,0.2619607461070531,-0.02845976696384645,-0.11316080928379585,-0.04948754947211415,1.3836723653430536,1.6243885039193502,1.6821968191842067,1.1338097267813596,2.9942198175749497,3.1532249551343257,2.9686926691885587,3.2836762393008003,3,8.224769608179729,1.9818155030409492,-4.458626174926758,9.92506437334067,10.875265067749368,3.3026106217497686,1.1413332514933163,8.022869991181567,-2.6520475050925905,-0.4010387524658519,1.4526622187318663,9.266841973833241,-2.5160398087065574,-0.6157489381294157,3.754782107500732,2.932997200483897,2.2763266139043763,3.481740321012733,3.097542906211283,3.2153770915555877,3.2412610726956945,3.1040921051938293
4,4,6.595307413736979,-6.967805290222168,-0.3956418282041947,9.61806236335077,0.06694883002874029,0.07520762769452259,0.20128598823612312,0.03082100636850215,0.03996865041222165,-0.038920821478524575,-0.07311899810244099,0.01848762752357793,-0.02460114726614021,0.014091434788188322,1.0668454239844516,1.1411790930840815,1.4048277695777722,0.9088656365330606,3.1389056673296736,3.205132903735457,3.1045429581578525,3.1690604200873786,4,8.175955883661906,2.997808013359706,-3.9204803506533294,10.077241362672002,10.478104300993175,5.681197363858177,1.8225005787568644,7.277471410705633,-3.576179069851136,-0.9216768765358244,2.2349352478597275,8.599214936535647,-2.7380676564889295,-0.8853020020148894,3.5571546828027767,3.2715640128226697,2.453608221908231,3.2630092558380737,2.9814000894158537,3.142772050008851,3.1064867817293207,2.9958825161790066
5,5,6.9015856583913155,-6.689579121271769,-0.605972445756197,9.643684293877381,0.05482861434724273,0.10764552758471588,0.12098437799644213,0.02370948362464264,0.05667599049261742,-0.03967964481855751,-0.051157669719448635,0.002553648202916168,-0.03105863428279054,-0.00045009065189545753,1.020729331579297,1.2240232126680792,1.195507663240854,0.8673088011755047,3.1368066955983767,3.145407475904562,3.0608706982929266,3.2447283145554127,5,8.465806484222412,3.731128340959549,-3.3320055325826012,10.24425184453198,7.250937736290057,3.9161364678905137,1.5613697584373931,4.192681693629616,-2.8578620813932987,0.4066503526524228,-0.10007580657159468,5.2566788574186,-1.339589738100157,-0.061247227951327136,3.500816612795172,2.9675948523852878,2.424514353310377,3.1018128385526937,3.1611796577862394,3.1354139139462838,3.192248307094536,3.1880262089520164
6,6,7.0271216551462805,-6.5897209803263355,-0.6298147076119979,9.661008138555664,0.023912790747681108,0.09578115510034944,0.036255006237493406,0.01779343566946944,0.038799641353462144,-0.008425061429885815,-0.029570187869929283,-0.008712426184332496,-0.03597870350872586,0.01247518895659638,0.8777520357600487,1.1904218699492022,0.935018971948796,0.7315326378958105,3.2558167247126346,3.1753016111187624,3.1694465779654912,3.048847848226141,6,8.372645870844524,3.4305897931257885,-3.7718860348065695,10.076789575122756,1.8461543859274163,3.014928070400638,1.7441444616802502,0.9730696685615544,-1.7754239894265451,0.4318817582809247,-0.03862068702017788,1.12547533310438,-0.8173539185716298,-0.22461032082643406,2.4865051216236287,2.614624798428543,2.3710227771437595,2.1821889947135307,3.1537478344136454,2.960634571635722,3.06010396126819,3.2182120692638367
7,7,6.881993150711058,-6.755379772186278,-0.2550423443317413,9.712756701411289,0.1107313886993567,0.1575775077482329,1.0908589462487006,0.03957072147882423,0.11133746960527503,-0.29050290008808244,-0.34672593750566544,-0.033828304118616245,-0.06755865297105566,0.1488746368254789,1.2543759023393406,1.3815126318077962,2.0446716584994458,0.9879940178677667,3.175761250198065,3.2270707874342563,2.9725252982953148,3.248737381331282,7,8.035896015167236,2.7782265822092693,-3.7276188214619954,9.543579960268497,2.3760751018656765,3.0696256775450896,1.6711281413423291,2.0575785711883854,-1.7901889979623646,-0.90962963172441,0.6835434675239173,1.958923164400324,-1.0155163550450086,-1.3574762549709285,2.5786311297871416,2.9182401613260303,2.3021636331748674,2.5133392453949224,3.0858174962196694,3.2024127197453667,3.0137880131186687,3.1111213544513245
8,8,6.193301026026408,-7.325598780314128,0.19219454030195876,9.75385278743493,0.8536508119791267,0.7887432335848819,1.6931222070310126,0.15000207827359324,0.7353836871427382,0.2204751624471946,0.09512303732082347,-0.12527126590272006,-0.2427654587521991,0.04807637450099357,1.917474475077784,1.937702602364081,2.262585635934415,1.3622271105568078,3.003973295186004,3.0824820249761538,3.030039188350767,3.2180016449779805,8,7.83633468945821,1.6024733170866967,-4.259623169898987,9.357195453376367,4.025841807574805,2.3479837366830685,2.16092542902472,2.9106250015934783,-1.2639609960900149,-0.2416896844418617,0.974300400836132,3.1365427399826857,-0.9275866620496352,-1.0177857871891491,2.9505550882943345,2.676856036301744,2.4772584799998163,2.7962910947506083,3.054110376729456,3.189746626340736,3.0705752772423165,3.1547196649532805
9,9,6.009127028783162,-7.40438796679179,0.2779468779762586,9.725545903480898,1.153388098775045,1.307943635309168,1.387571984464969,0.15122801898309907,1.1316838762687216,1.0002829298814817,0.9786945486131812,-0.007808274546565749,-0.12340614079705566,-0.010328268249552708,2.1459281058147845,2.2512826401181263,2.121291563758525,1.3775841548883558,3.0983517314915336,3.130396341171552,2.989129661029378,3.2338666237805516,9,7.870312833786012,0.12267205566167833,-4.657948358853658,9.618766507116831,9.238987608157256,3.8989669316189968,2.440817922586396,6.405689355685513,-0.8725760328612332,1.278406909524494,-2.379305273844365,7.299990715835853,-0.0036066532285256906,0.0037835470780163524,3.5283894034147827,2.7805122082651157,2.5552019313942207,3.2146808512865266,3.0072553728417732,2.9421224539694752,3.0476234050968083,3.0021729033150395
