timestamp,mx,my,mz,mAc
1482756076080,-21.6,-46.73,27.29,ACCURACY_BAD
1482756076399,-29.27,-49.43,35.7,ACCURACY_BAD
1482756076678,-35.52,-47.45,36.36,ACCURACY_BAD
1482756077000,-35.52,-46.43,30.95,ACCURACY_BAD
1482756077276,-36.95,-45.95,33.95,ACCURACY_BAD
1482756077480,-36.23,-45.89,36.05,ACCURACY_BAD
1482756077774,-29.27,-43.13,20.69,ACCURACY_BAD
1482756077991,-27.89,-37.91,15.96,ACCURACY_BAD
1482756078198,-25.07,-36.65,12.11,ACCURACY_BAD
1482756078474,-27.18,-33.23,12.59,ACCURACY_BAD
1482756078675,-27.89,-33.23,10.43,ACCURACY_BAD
1482756078971,-32.04,-31.61,12.35,ACCURACY_BAD
1482756079196,-36.95,-29.27,11.69,ACCURACY_BAD
1482756079471,-41.09,-24.18,14.03,ACCURACY_BAD
1482756079784,-43.91,-22.85,14.46,ACCURACY_BAD
1482756080072,-36.95,-32.45,14.88,ACCURACY_BAD
1482756080393,-32.75,-41.09,21.35,ACCURACY_BAD
1482756080670,-29.27,-45.05,22.13,ACCURACY_BAD
1482756080980,-26.45,-40.68,22.19,ACCURACY_BAD
1482756081270,-25.79,-43.97,18.95,ACCURACY_BAD
1482756081595,-27.89,-42.65,21.53,ACCURACY_BAD
1482756081868,-26.45,-44.81,21.53,ACCURACY_BAD
1482756082166,-26.45,-42.41,20.93,ACCURACY_BAD
1482756082468,-27.18,-43.13,20.69,ACCURACY_BAD
1482756082786,-29.93,-43.31,21.35,ACCURACY_BAD
1482756083066,-30.65,-45.11,31.37,ACCURACY_BAD
1482756083364,-33.47,-44.45,31.61,ACCURACY_BAD
1482756083665,-34.86,-48.36,34.55,ACCURACY_BAD
1482756083987,-32.75,-48.05,38.21,ACCURACY_BAD
1482756084262,-32.75,-48.18,33.95,ACCURACY_BAD
1482756084463,-27.89,-42.41,20.93,ACCURACY_BAD
1482756084664,-26.45,-45.05,24.29,ACCURACY_BAD
1482756084959,-35.52,-47.09,46.37,ACCURACY_BAD
1482756085187,-34.86,-45.29,49.79,ACCURACY_BAD
1482756085460,-28.55,-45.89,26.87,ACCURACY_BAD
1482756085771,-27.18,-46.91,30.05,ACCURACY_BAD
1482756086060,-32.04,-49.86,39.05,ACCURACY_BAD
1482756086381,-30.65,-48.89,40.79,ACCURACY_BAD
1482756086594,-32.04,-48.36,48.11,ACCURACY_BAD
1482756086857,-27.18,-48.95,27.35,ACCURACY_BAD
1482756087059,-27.89,-44.34,24.53,ACCURACY_BAD
1482756087365,-25.79,-36.65,14.27,ACCURACY_BAD
1482756087574,-28.55,-37.31,14.09,ACCURACY_BAD
1482756087775,-34.13,-33.84,14.46,ACCURACY_BAD
1482756088054,-41.09,-27.65,15.77,ACCURACY_BAD
1482756088257,-45.29,-26.34,16.19,ACCURACY_BAD
1482756088565,-43.91,-25.07,14.46,ACCURACY_BAD
1482756088855,-42.54,-28.79,12.53,ACCURACY_BAD
1482756089166,-34.13,-34.07,15.11,ACCURACY_BAD
1482756089458,-32.04,-47.45,36.36,ACCURACY_BAD
1482756089752,-39.05,-45.18,42.77,ACCURACY_BAD
1482756090053,-39.05,-45.18,44.81,ACCURACY_BAD
1482756090371,-39.05,-46.02,45.29,ACCURACY_BAD
1482756090650,-34.86,-46.31,37.38,ACCURACY_BAD
1482756090963,-36.95,-46.13,38.87,ACCURACY_BAD
1482756091252,-38.34,-46.91,45.71,ACCURACY_BAD
1482756091547,-36.95,-47.15,39.95,ACCURACY_BAD
1482756091764,-37.61,-46.25,43.79,ACCURACY_BAD
1482756092048,-37.61,-46.02,45.29,ACCURACY_BAD
1482756092346,-39.05,-46.2,48.11,ACCURACY_BAD
1482756092547,-38.34,-46.55,40.13,ACCURACY_BAD
1482756092845,-37.61,-44.87,46.37,ACCURACY_BAD
1482756093046,-39.05,-46.5,42.29,ACCURACY_BAD
1482756093363,-36.23,-47.09,44.21,ACCURACY_BAD
1482756093643,-39.71,-45.36,43.37,ACCURACY_BAD
1482756093847,-37.61,-45.77,44.63,ACCURACY_BAD
1482756094155,-34.86,-47.03,35.04,ACCURACY_BAD
1482756094359,-39.05,-44.45,45.05,ACCURACY_BAD
1482756094563,-34.13,-47.52,47.63,ACCURACY_BAD
1482756094840,-26.45,-44.39,22.37,ACCURACY_BAD
1482756095043,-26.45,-42.71,17.21,ACCURACY_BAD
1482756095339,-25.79,-38.81,14.27,ACCURACY_BAD
1482756095562,-27.89,-38.81,16.44,ACCURACY_BAD
1482756095842,-30.65,-37.07,15.53,ACCURACY_BAD
1482756096151,-26.45,-36,14.51,ACCURACY_BAD
1482756096440,-30.65,-36,14.51,ACCURACY_BAD
1482756096750,-32.04,-32.75,9.11,ACCURACY_BAD
1482756097040,-40.43,-28.37,13.38,ACCURACY_BAD
1482756097351,-43.2,-25.01,16.61,ACCURACY_BAD
