timestamp,mx,my,mz,mAc
1481522111599,-16.44,-14.63,9.77,ACCURACY_VERYGOOD
1481522111886,-15,-15,13.25,ACCURACY_VERYGOOD
1481522112185,-17.1,-16.68,2.75,ACCURACY_VERYGOOD
1481522112398,-21.29,-11.93,-0.65,ACCURACY_VERYGOOD
1481522112682,-15,-18.89,2.7,ACCURACY_VERYGOOD
1481522112982,-14.34,-20.63,1.43,ACCURACY_VERYGOOD
1481522113283,-13.61,-21.42,8.34,ACCURACY_VERYGOOD
1481522113579,-17.76,-19.02,7.67,ACCURACY_VERYGOOD
1481522113792,-21.89,-10.31,1.25,ACCURACY_VERYGOOD
1481522114080,-23.27,1.5,-3.95,ACCURACY_VERYGOOD
1481522114378,-23.93,-1.31,4.98,ACCURACY_VERYGOOD
1481522114579,-18.35,-16.13,5.81,ACCURACY_VERYGOOD
1481522114879,-14.88,-19.61,-7.98,ACCURACY_VERYGOOD
1481522115099,-11.34,-21.35,-9.23,ACCURACY_VERYGOOD
1481522115375,-9.23,-13.97,-18.18,ACCURACY_VERYGOOD
1481522115577,-7.13,-7.31,-23.03,ACCURACY_VERYGOOD
1481522115877,-19.02,-4.07,-12.77,ACCURACY_VERYGOOD
1481522116218,-18.35,-11.46,5.27,ACCURACY_VERYGOOD
1481522116474,-16.26,-12.42,12.71,ACCURACY_VERYGOOD
1481522116775,-10.67,-11.51,16.61,ACCURACY_VERYGOOD
1481522117072,-13.5,-15.35,10.38,ACCURACY_VERYGOOD
1481522117275,-16.97,-18.05,0.95,ACCURACY_VERYGOOD
1481522117572,-15.59,-19.31,4.79,ACCURACY_VERYGOOD
1481522117873,-13.5,-15,16.13,ACCURACY_VERYGOOD
1481522118170,-14.88,-16.61,9.96,ACCURACY_VERYGOOD
1481522118392,-18.35,-16.55,0.77,ACCURACY_VERYGOOD
1481522118670,-14.15,-19.73,3.95,ACCURACY_VERYGOOD
1481522118971,-14.88,-15.47,11.03,ACCURACY_VERYGOOD
1481522119270,-14.88,-15.96,10.13,ACCURACY_VERYGOOD
1481522119568,-15.59,-16.31,4.38,ACCURACY_VERYGOOD
1481522119869,-14.88,-18.71,2.87,ACCURACY_VERYGOOD
1481522120167,-22.55,-13.07,1.19,ACCURACY_VERYGOOD
1481522120468,-25.97,-5.94,6.35,ACCURACY_VERYGOOD
1481522120771,-23.15,-8.63,1.19,ACCURACY_VERYGOOD
1481522120988,-23.87,-11.27,2.46,ACCURACY_VERYGOOD
1481522121265,-25.26,-4.13,-3.59,ACCURACY_VERYGOOD
1481522121565,-24.53,2.75,-0.59,ACCURACY_VERYGOOD
1481522121866,-18.95,-16.79,-0.65,ACCURACY_VERYGOOD
1481522122163,-16.13,-19.85,-2.33,ACCURACY_VERYGOOD
1481522122475,-9.17,-20.27,-12.3,ACCURACY_VERYGOOD
1481522122761,-6.35,-18.29,-15.96,ACCURACY_VERYGOOD
1481522123062,-7.07,-13.55,-21.47,ACCURACY_VERYGOOD
1481522123272,-8.46,-5.03,-22.97,ACCURACY_VERYGOOD
1481522123566,-19.61,-5.51,-12.47,ACCURACY_VERYGOOD
1481522123856,-15.47,-12.65,4.92,ACCURACY_VERYGOOD
1481522124058,-15.53,-13.31,8.93,ACCURACY_VERYGOOD
1481522124259,-14.81,-11.51,12.35,ACCURACY_VERYGOOD
1481522124559,-14.81,-4.92,20.93,ACCURACY_VERYGOOD
1481522124887,-9.96,1.79,20.34,ACCURACY_VERYGOOD
1481522125159,-12.71,-13.73,10.31,ACCURACY_VERYGOOD
1481522125463,-15.59,-3.17,-11.03,ACCURACY_VERYGOOD
1481522125776,-14.27,-10.43,-11.34,ACCURACY_VERYGOOD
1481522126054,-11.46,-21.23,8.46,ACCURACY_VERYGOOD
1481522126356,-17.76,-16.31,2.22,ACCURACY_VERYGOOD
1481522126655,-19.13,-13.79,-5.33,ACCURACY_VERYGOOD
1481522126953,-17.76,-19.31,4.79,ACCURACY_VERYGOOD
1481522127154,-14.21,-17.03,11.21,ACCURACY_VERYGOOD
1481522127374,-12.84,-13.73,12.3,ACCURACY_VERYGOOD
1481522127653,-14.93,-16.79,1.37,ACCURACY_VERYGOOD
1481522127952,-15.65,-20.63,6.48,ACCURACY_VERYGOOD
1481522128254,-21.18,-12.42,-0.65,ACCURACY_VERYGOOD
1481522128550,-23.27,-4.67,2.46,ACCURACY_VERYGOOD
1481522128777,-25.37,-5.09,5.87,ACCURACY_VERYGOOD
1481522129050,-23.27,-10.19,-0.65,ACCURACY_VERYGOOD
1481522129348,-26.03,-3.11,-4.67,ACCURACY_VERYGOOD
1481522129549,-26.03,0.35,-4.25,ACCURACY_VERYGOOD
1481522129850,-15.53,-10.92,-12.17,ACCURACY_VERYGOOD
1481522130148,-10.67,-15.96,-14.51,ACCURACY_VERYGOOD
1481522130361,-9.96,-13.19,-20.63,ACCURACY_VERYGOOD
1481522130646,-2.27,-12.35,-21.11,ACCURACY_VERYGOOD
1481522130947,-2.27,-7.31,-22.97,ACCURACY_VERYGOOD
1481522131247,-16.26,-5.69,-16.79,ACCURACY_VERYGOOD
1481522131544,-19.07,-12.65,-2.09,ACCURACY_VERYGOOD
1481522131750,-16.26,-14.81,2.09,ACCURACY_VERYGOOD
1481522131966,-17.69,-13.43,4.67,ACCURACY_VERYGOOD
1481522132246,-16.26,-10.26,12.84,ACCURACY_VERYGOOD
1481522132458,-12.11,-9.53,17.27,ACCURACY_VERYGOOD
1481522132743,-16.97,-13.85,8.15,ACCURACY_VERYGOOD
1481522133044,-14.88,-17.15,-8.46,ACCURACY_VERYGOOD
1481522133341,-15.59,-15.35,8.34,ACCURACY_VERYGOOD
1481522133562,-12.77,-13.92,17.34,ACCURACY_VERYGOOD
1481522133839,-16.31,-16.85,8.51,ACCURACY_VERYGOOD
1481522134138,-21.18,-13.25,1.91,ACCURACY_VERYGOOD
1481522134339,-19.07,-15.89,3.17,ACCURACY_VERYGOOD
1481522134640,-14.21,-14.39,12.17,ACCURACY_VERYGOOD
1481522134949,-16.31,-16.73,3.59,ACCURACY_VERYGOOD
1481522135237,-15.59,-17.57,8.34,ACCURACY_VERYGOOD
1481522135535,-19.07,-14.51,5.75,ACCURACY_VERYGOOD
1481522135737,-22.55,-6.23,4.85,ACCURACY_VERYGOOD
1481522135938,-25.31,-3.17,4.5,ACCURACY_VERYGOOD
1481522136237,-24.6,-6.96,-1.67,ACCURACY_VERYGOOD
1481522136554,-23.21,-7.91,-1.19,ACCURACY_VERYGOOD
1481522136835,-25.97,1.37,-0.95,ACCURACY_VERYGOOD
1481522137137,-20.39,-10.26,1.5,ACCURACY_VERYGOOD
1481522137433,-16.19,-16.19,-2.51,ACCURACY_VERYGOOD
1481522137733,-7.79,-20.76,-11.03,ACCURACY_VERYGOOD
1481522137949,-6.42,-23.63,-13.38,ACCURACY_VERYGOOD
1481522138232,-2.93,-16.92,-20.45,ACCURACY_VERYGOOD
1481522138533,-14.81,-5.46,-15.23,ACCURACY_VERYGOOD
1481522138830,-21.11,-12,0.23,ACCURACY_VERYGOOD
1481522139031,-16.92,-11.27,2.57,ACCURACY_VERYGOOD
1481522139233,-17.63,-12.35,5.81,ACCURACY_VERYGOOD
1481522139528,-14.15,-12.89,12,ACCURACY_VERYGOOD
1481522139735,-12.05,-16.61,12.23,ACCURACY_VERYGOOD
1481522140028,-18.35,-13.31,-2.27,ACCURACY_VERYGOOD
1481522140330,-12.77,-13.31,-13.55,ACCURACY_VERYGOOD
1481522140628,-15.53,-15.83,-7.98,ACCURACY_VERYGOOD
1481522140925,-12.05,-12.71,11.34,ACCURACY_VERYGOOD
1481522141142,-15.53,-11.09,15.47,ACCURACY_VERYGOOD
1481522141427,-14.88,-11.88,10.92,ACCURACY_VERYGOOD
1481522141725,-13.43,-10.97,12.65,ACCURACY_VERYGOOD
1481522142026,-19.73,-13.61,-3.77,ACCURACY_VERYGOOD
1481522142322,-15.53,-16.44,-1.86,ACCURACY_VERYGOOD
1481522142539,-17.63,-18.77,3,ACCURACY_VERYGOOD
1481522142843,-16.26,-15.83,5.4,ACCURACY_VERYGOOD
1481522143121,-15.53,-19.19,1.31,ACCURACY_VERYGOOD
1481522143422,-16.97,-18.77,0.83,ACCURACY_VERYGOOD
1481522143722,-23.21,-10.31,-0.53,ACCURACY_VERYGOOD
1481522144027,-23.87,-0.11,-4.92,ACCURACY_VERYGOOD
1481522144344,-25.97,2.46,-1.97,ACCURACY_VERYGOOD
1481522144619,-19.02,-14.03,-2.46,ACCURACY_VERYGOOD
1481522144835,-17.63,-16.55,-8.22,ACCURACY_VERYGOOD
1481522145120,-8.57,-23.63,-13.31,ACCURACY_VERYGOOD
1481522145419,-3,-15,-21.84,ACCURACY_VERYGOOD
1481522145719,-4.44,-17.94,-17.1,ACCURACY_VERYGOOD
1481522146017,-14.21,-9.35,-14.34,ACCURACY_VERYGOOD
1481522146333,-21.18,-10.19,1.62,ACCURACY_VERYGOOD
1481522146617,-18.42,-13.01,3.53,ACCURACY_VERYGOOD
1481522146916,-16.31,-9.35,12.47,ACCURACY_VERYGOOD
1481522147216,-10.73,-11.09,15.53,ACCURACY_VERYGOOD
1481522147514,-15.59,-12.71,9.3,ACCURACY_VERYGOOD
1481522147735,-17.03,-15.71,-3.65,ACCURACY_VERYGOOD
1481522148010,-17.69,-16.37,-1.67,ACCURACY_VERYGOOD
1481522148211,-16.31,-14.69,10.85,ACCURACY_VERYGOOD
1481522148512,-12.11,-3.24,20.21,ACCURACY_VERYGOOD
1481522148813,-10.01,-4.55,17.63,ACCURACY_VERYGOOD
1481522149110,-17.03,-12.84,2.93,ACCURACY_VERYGOOD
1481522149330,-15.59,-16.79,1.62,ACCURACY_VERYGOOD
1481522149608,-16.31,-15.77,11.93,ACCURACY_VERYGOOD
1481522149907,-16.31,-17.81,4.85,ACCURACY_VERYGOOD
1481522150210,-17.03,-17.1,9.35,ACCURACY_VERYGOOD
1481522150507,-20.52,-17.76,-2.15,ACCURACY_VERYGOOD
1481522150719,-23.93,-12.17,3.17,ACCURACY_VERYGOOD
1481522151006,-24.65,-5.87,-0.35,ACCURACY_VERYGOOD
1481522151306,-23.93,1.79,-4.19,ACCURACY_VERYGOOD
1481522151507,-26.03,4.19,-2.7,ACCURACY_VERYGOOD
1481522151807,-20.39,-14.88,0.17,ACCURACY_VERYGOOD
1481522152126,-15.53,-17.81,-6.35,ACCURACY_VERYGOOD
1481522152401,-7.19,-24.53,-3.59,ACCURACY_VERYGOOD
1481522152704,-5.09,-24.18,-11.27,ACCURACY_VERYGOOD
1481522153008,-1.74,-15.29,-20.39,ACCURACY_VERYGOOD
1481522153301,-3.11,-12.96,-23.15,ACCURACY_VERYGOOD
1481522153522,-10.07,-1.74,-21.6,ACCURACY_VERYGOOD
1481522153820,-19.19,-7.61,-5.87,ACCURACY_VERYGOOD
1481522154101,-18.47,-11.21,-1.43,ACCURACY_VERYGOOD
1481522154398,-18.53,-11.03,11.39,ACCURACY_VERYGOOD
1481522154702,-14.34,-13.19,15.65,ACCURACY_VERYGOOD
1481522155001,-16.44,-13.92,-2.22,ACCURACY_VERYGOOD
1481522155215,-15.71,-17.76,-6.23,ACCURACY_VERYGOOD
1481522155496,-16.44,-18.6,7.55,ACCURACY_VERYGOOD
1481522155797,-13.61,-19.5,15,ACCURACY_VERYGOOD
1481522156120,-19.19,-15.29,6.48,ACCURACY_VERYGOOD
1481522156394,-19.92,-17.69,4.92,ACCURACY_VERYGOOD
1481522156599,-17.81,-13.43,14.15,ACCURACY_VERYGOOD
1481522156894,-17.1,-15.11,3.65,ACCURACY_VERYGOOD
1481522157197,-15.71,-16.97,9.47,ACCURACY_VERYGOOD
1481522157492,-20.57,-13.31,4.98,ACCURACY_VERYGOOD
1481522157711,-24.05,-4.5,9.23,ACCURACY_VERYGOOD
1481522157992,-26.15,-3.29,5.4,ACCURACY_VERYGOOD
1481522158291,-24,-7.98,-2.46,ACCURACY_VERYGOOD
1481522158493,-23.34,-3.17,-1.5,ACCURACY_VERYGOOD
1481522158794,-25.43,2.39,-1.13,ACCURACY_VERYGOOD
1481522159090,-19.13,-16.5,-0.95,ACCURACY_VERYGOOD
1481522159390,-15.65,-16.44,3.24,ACCURACY_VERYGOOD
1481522159728,-10.8,-21.47,-10.38,ACCURACY_VERYGOOD
1481522159986,-3.83,-0.41,-25.5,ACCURACY_VERYGOOD
1481522160186,-5.21,3,-25.01,ACCURACY_VERYGOOD
1481522160387,-7.31,0.83,-22.92,ACCURACY_VERYGOOD
1481522160590,-15.71,-4.44,-13.25,ACCURACY_VERYGOOD
1481522160910,-18.53,-9.59,2.63,ACCURACY_VERYGOOD
1481522161187,-17.15,-12.35,6.71,ACCURACY_VERYGOOD
1481522161486,-17.81,-10.97,11.39,ACCURACY_VERYGOOD
1481522161794,-12.23,-10.5,16.55,ACCURACY_VERYGOOD
1481522162086,-16.44,-14.21,-0.89,ACCURACY_VERYGOOD
1481522162388,-12.96,-18.95,-6.65,ACCURACY_VERYGOOD
1481522162699,-17.81,-15.89,4.13,ACCURACY_VERYGOOD
1481522162983,-12.96,-9.84,16.73,ACCURACY_VERYGOOD
1481522163283,-15.05,-12.71,12.3,ACCURACY_VERYGOOD
1481522163582,-19.19,-14.69,-1.74,ACCURACY_VERYGOOD
1481522163783,-18.53,-16.02,-0.05,ACCURACY_VERYGOOD
1481522164077,-14.34,-15.42,9.3,ACCURACY_VERYGOOD
1481522164297,-15.71,-16.68,1.79,ACCURACY_VERYGOOD
1481522164579,-16.44,-17.63,9.3,ACCURACY_VERYGOOD
1481522164879,-22.02,-11.39,1.43,ACCURACY_VERYGOOD
1481522165179,-26.15,-4.19,3.77,ACCURACY_VERYGOOD
1481522165475,-21.23,-12.05,3.29,ACCURACY_VERYGOOD
1481522165677,-24.71,-8.22,-1.74,ACCURACY_VERYGOOD
1481522165900,-24,2.15,-4.67,ACCURACY_VERYGOOD
1481522166175,-23.27,2.09,-0.41,ACCURACY_VERYGOOD
1481522166476,-19.79,-12.71,3.11,ACCURACY_VERYGOOD
1481522166778,-15.59,-19.19,-6.05,ACCURACY_VERYGOOD
1481522167085,-8.69,-21.47,-12.42,ACCURACY_VERYGOOD
1481522167374,-8.69,-14.27,-16.44,ACCURACY_VERYGOOD
1481522167674,-10.73,-8.09,-20.1,ACCURACY_VERYGOOD
1481522167975,-19.85,-7.79,-7.25,ACCURACY_VERYGOOD
1481522168294,-18.47,-12.23,3.95,ACCURACY_VERYGOOD
1481522168573,-17.76,-9.96,6.11,ACCURACY_VERYGOOD
1481522168872,-17.76,-10.31,11.69,ACCURACY_VERYGOOD
1481522169173,-15,-8.27,18.71,ACCURACY_VERYGOOD
1481522169468,-10.07,-13.19,13.67,ACCURACY_VERYGOOD
1481522169703,-16.37,-14.93,1.01,ACCURACY_VERYGOOD
1481522169967,-14.27,-14.63,-10.85,ACCURACY_VERYGOOD
1481522170269,-18.47,-13.43,-1.31,ACCURACY_VERYGOOD
1481522170567,-14.27,-4.92,17.03,ACCURACY_VERYGOOD
1481522170768,-12.89,-6.35,19.43,ACCURACY_VERYGOOD
1481522171063,-12.89,-8.09,18.18,ACCURACY_VERYGOOD
1481522171276,-12.17,-5.03,21.95,ACCURACY_VERYGOOD
1481522171511,-12.17,-6.77,18.6,ACCURACY_VERYGOOD
1481522171768,-19.13,-13.55,3.53,ACCURACY_VERYGOOD
1481522172064,-17.03,-15.77,3.59,ACCURACY_VERYGOOD
1481522172361,-12.89,-9.47,15.53,ACCURACY_VERYGOOD
1481522172564,-17.03,-14.88,5.27,ACCURACY_VERYGOOD
1481522172773,-15.65,-18.89,1.86,ACCURACY_VERYGOOD
1481522173066,-18.42,-16.55,8.27,ACCURACY_VERYGOOD
1481522173361,-23.34,-7.07,-0.65,ACCURACY_VERYGOOD
1481522173563,-25.43,-5.69,4.01,ACCURACY_VERYGOOD
1481522173863,-24.71,-8.51,5.94,ACCURACY_VERYGOOD
1481522174162,-24,-4.13,-5.27,ACCURACY_VERYGOOD
1481522174460,-23.93,6,-5.46,ACCURACY_VERYGOOD
1481522174715,-23.27,-1.67,-1.62,ACCURACY_VERYGOOD
1481522174958,-15.59,-19.61,-2.57,ACCURACY_VERYGOOD
1481522175259,-11.39,-18,-11.88,ACCURACY_VERYGOOD
1481522175469,-9.35,-14.63,-20.03,ACCURACY_VERYGOOD
1481522175759,-7.25,-16.79,-17.87,ACCURACY_VERYGOOD
1481522176056,-8.63,-9.59,-19.79,ACCURACY_VERYGOOD
1481522176277,-19.07,-4.67,-12.53,ACCURACY_VERYGOOD
1481522176555,-19.79,-11.46,-0.59,ACCURACY_VERYGOOD
1481522176757,-20.52,-12.05,3.41,ACCURACY_VERYGOOD
1481522177055,-17.03,-11.03,9.42,ACCURACY_VERYGOOD
1481522177354,-12.84,-11.69,13.43,ACCURACY_VERYGOOD
1481522177654,-13.55,-15.47,7.31,ACCURACY_VERYGOOD
1481522177955,-16.31,-8.39,-12.3,ACCURACY_VERYGOOD
1481522178251,-17.76,-12.42,-6.53,ACCURACY_VERYGOOD
1481522178553,-14.93,-14.51,15.35,ACCURACY_VERYGOOD
1481522178754,-14.27,-8.09,18.18,ACCURACY_VERYGOOD
1481522179050,-11.46,-9,16.44,ACCURACY_VERYGOOD
1481522179350,-19.13,-13.67,-0.59,ACCURACY_VERYGOOD
1481522179650,-19.79,-13.55,7.91,ACCURACY_VERYGOOD
1481522179948,-10.73,-13.13,15.83,ACCURACY_VERYGOOD
1481522180263,-12.11,-14.15,9.84,ACCURACY_VERYGOOD
1481522180549,-7.98,-17.34,15.17,ACCURACY_VERYGOOD
1481522180849,-12.11,-20.69,7.73,ACCURACY_VERYGOOD
1481522181145,-16.31,-18.95,6.83,ACCURACY_VERYGOOD
1481522181347,-21.89,-12.05,1.25,ACCURACY_VERYGOOD
1481522181548,-24,-5.94,2.57,ACCURACY_VERYGOOD
1481522181845,-25.37,-0.47,5.81,ACCURACY_VERYGOOD
1481522182068,-26.76,-8.57,6,ACCURACY_VERYGOOD
1481522182343,-24.65,-2.81,-4.79,ACCURACY_VERYGOOD
1481522182645,-25.31,2.7,-4.38,ACCURACY_VERYGOOD
1481522182965,-17.63,-16.13,-4.19,ACCURACY_VERYGOOD
1481522183244,-12.05,-22.07,-4.01,ACCURACY_VERYGOOD
1481522183544,-11.34,-20.69,-12.71,ACCURACY_VERYGOOD
1481522183859,-9.3,-18.29,-13.31,ACCURACY_VERYGOOD
1481522184141,-9.3,-19.79,-13.07,ACCURACY_VERYGOOD
1481522184440,-15.53,-7.44,-17.57,ACCURACY_VERYGOOD
1481522184742,-21.84,-6.23,-1.01,ACCURACY_VERYGOOD
1481522185038,-20.45,-11.63,2.15,ACCURACY_VERYGOOD
1481522185251,-19.07,-12.89,6.05,ACCURACY_VERYGOOD
1481522185538,-13.5,-13.67,12.84,ACCURACY_VERYGOOD
1481522185836,-13.5,-15.47,9.42,ACCURACY_VERYGOOD
1481522186038,-17.63,-10.55,-8.03,ACCURACY_VERYGOOD
1481522186338,-14.88,-14.46,-9.3,ACCURACY_VERYGOOD
1481522186539,-17.63,-15.23,-4.61,ACCURACY_VERYGOOD
1481522186839,-17.63,-12.3,15.42,ACCURACY_VERYGOOD
1481522187058,-12.05,-5.69,21.84,ACCURACY_VERYGOOD
1481522187334,-9.96,-6.17,20.93,ACCURACY_VERYGOOD
1481522187635,-10.67,-10.73,19.43,ACCURACY_VERYGOOD
1481522187936,-12.77,-12.23,19.68,ACCURACY_VERYGOOD
