timestamp,mx,my,mz,mAc
1484226029620,17.94,-30.84,-19.92,ACCURACY_VERYGOOD
1484226029909,15.83,-31.43,-18,ACCURACY_VERYGOOD
1484226030213,20.69,-25.79,-19.73,ACCURACY_VERYGOOD
1484226030532,17.21,-30.17,-17.52,ACCURACY_VERYGOOD
1484226030809,8.81,-35.93,-13.07,ACCURACY_VERYGOOD
1484226031107,16.5,-29.09,-20.81,ACCURACY_VERYGOOD
1484226031409,22.79,-18,-23.57,ACCURACY_VERYGOOD
1484226031726,24.18,-21.11,-23.1,ACCURACY_VERYGOOD
1484226032004,14.39,-32.57,-16.92,ACCURACY_VERYGOOD
1484226032304,4.67,-40.07,-11.63,ACCURACY_VERYGOOD
1484226032607,18.6,-30.84,-19.92,ACCURACY_VERYGOOD
1484226032923,19.31,-19.61,-27.59,ACCURACY_VERYGOOD
1484226033202,17.21,-27.23,-24.42,ACCURACY_VERYGOOD
1484226033502,17.21,-30.84,-19.92,ACCURACY_VERYGOOD
1484226033804,10.92,-36.77,-19.68,ACCURACY_VERYGOOD
1484226034123,7.44,-36.36,-23.15,ACCURACY_VERYGOOD
1484226034401,17.94,-24.84,-27.18,ACCURACY_VERYGOOD
1484226034699,19.31,-21.77,-27.59,ACCURACY_VERYGOOD
1484226034900,19.97,-25.92,-26.15,ACCURACY_VERYGOOD
1484226035203,7.44,-36.54,-20.39,ACCURACY_VERYGOOD
1484226035498,2.57,-38.09,-20.1,ACCURACY_VERYGOOD
1484226035720,8.15,-39,-21.84,ACCURACY_VERYGOOD
1484226035998,19.97,-20.52,-29.34,ACCURACY_VERYGOOD
1484226036296,18.6,-15.47,-29.09,ACCURACY_VERYGOOD
1484226036599,14.39,-27.89,-26.76,ACCURACY_VERYGOOD
1484226036912,8.15,-32.7,-27.65,ACCURACY_VERYGOOD
1484226037225,8.81,-33.54,-25.07,ACCURACY_VERYGOOD
1484226037494,17.94,-20.52,-29.34,ACCURACY_VERYGOOD
1484226037796,18.6,-18.6,-30.84,ACCURACY_VERYGOOD
1484226038109,18.6,-27.71,-27.42,ACCURACY_VERYGOOD
1484226038392,10.92,-30.95,-28.43,ACCURACY_VERYGOOD
1484226038594,8.81,-32.45,-28.26,ACCURACY_VERYGOOD
1484226038817,13.73,-25.97,-28.31,ACCURACY_VERYGOOD
1484226039090,18.6,-18.11,-29.93,ACCURACY_VERYGOOD
1484226039302,19.97,-14.63,-31.67,ACCURACY_VERYGOOD
1484226039590,15.83,-22.43,-30,ACCURACY_VERYGOOD
1484226039889,13.01,-30.05,-24.65,ACCURACY_VERYGOOD
1484226040192,8.81,-30.47,-25.5,ACCURACY_VERYGOOD
1484226040508,15.83,-24.84,-27.18,ACCURACY_VERYGOOD
1484226040712,19.97,-9.53,-29.34,ACCURACY_VERYGOOD
1484226040993,22.79,-12.23,-30.17,ACCURACY_VERYGOOD
1484226041284,17.21,-25.01,-26.51,ACCURACY_VERYGOOD
1484226041495,13.73,-33.05,-22.07,ACCURACY_VERYGOOD
1484226041789,9.53,-33.71,-22.31,ACCURACY_VERYGOOD
1484226042083,19.97,-15.17,-27.65,ACCURACY_VERYGOOD
1484226042304,19.31,-13.97,-29.34,ACCURACY_VERYGOOD
1484226042584,21.42,-15,-26.09,ACCURACY_VERYGOOD
1484226042785,19.97,-18.05,-25.73,ACCURACY_VERYGOOD
1484226042988,17.21,-26.57,-26.34,ACCURACY_VERYGOOD
1484226043281,10.92,-27,-25.01,ACCURACY_VERYGOOD
1484226043485,16.5,-24.11,-24.84,ACCURACY_VERYGOOD
1484226043706,19.97,-17.39,-27.59,ACCURACY_VERYGOOD
1484226043983,23.51,-15.42,-24.84,ACCURACY_VERYGOOD
1484226044206,21.42,-17.57,-22.73,ACCURACY_VERYGOOD
1484226044482,15.83,-28.07,-21.84,ACCURACY_VERYGOOD
1484226044780,12.35,-30.42,-21.23,ACCURACY_VERYGOOD
1484226045079,20.69,-19.73,-22.68,ACCURACY_VERYGOOD
1484226045378,22.79,-10.8,-25.43,ACCURACY_VERYGOOD
1484226045580,22.07,-14.34,-23.76,ACCURACY_VERYGOOD
1484226045886,19.97,-18.42,-22.26,ACCURACY_VERYGOOD
1484226046097,14.39,-26.03,-23.34,ACCURACY_VERYGOOD
1484226046379,9.53,-28.92,-21.42,ACCURACY_VERYGOOD
1484226046588,14.39,-29.51,-19.5,ACCURACY_VERYGOOD
1484226046875,20.69,-15.53,-22.07,ACCURACY_VERYGOOD
1484226047178,21.42,-16.26,-22.31,ACCURACY_VERYGOOD
1484226047494,18.6,-28.85,-17.1,ACCURACY_VERYGOOD
1484226047774,12.35,-30.84,-17.76,ACCURACY_VERYGOOD
1484226048071,15.11,-26.03,-19.02,ACCURACY_VERYGOOD
1484226048272,17.21,-18.84,-21,ACCURACY_VERYGOOD
1484226048574,19.31,-15.35,-20.57,ACCURACY_VERYGOOD
1484226048870,17.21,-18.6,-19.5,ACCURACY_VERYGOOD
1484226049171,17.21,-26.81,-14.39,ACCURACY_VERYGOOD
1484226049375,10.92,-30.35,-14.75,ACCURACY_VERYGOOD
1484226049702,11.63,-24.05,-20.52,ACCURACY_VERYGOOD
1484226049971,19.31,-8.09,-20.34,ACCURACY_VERYGOOD
1484226050329,15.83,-15.29,-18.42,ACCURACY_VERYGOOD
1484226050569,11.63,-21.71,-23.34,ACCURACY_VERYGOOD
1484226050864,15.83,-17.52,-20.57,ACCURACY_VERYGOOD
