timestamp,mx,my,mz,mAc
1481637051351,-1.62,-25.5,56.09,ACCURACY_VERYGOOD
1481637051654,-0.23,-23.51,56.69,ACCURACY_VERYGOOD
1481637051951,-7.19,-22.19,57.18,ACCURACY_VERYGOOD
1481637052252,-10.01,-18.77,55.43,ACCURACY_VERYGOOD
1481637052546,-12.77,-19.37,57.29,ACCURACY_VERYGOOD
1481637052747,-10.73,-20.93,55.43,ACCURACY_VERYGOOD
1481637053048,-8.63,-14.88,56.69,ACCURACY_VERYGOOD
1481637053250,-5.15,-9.23,52.86,ACCURACY_VERYGOOD
1481637053544,-1.62,-12.77,50.27,ACCURACY_VERYGOOD
1481637053849,-6.53,-11.69,49.2,ACCURACY_VERYGOOD
1481637054166,-9.3,-13.61,52.79,ACCURACY_VERYGOOD
1481637054445,-14.21,-22.92,54.77,ACCURACY_VERYGOOD
1481637054743,-11.39,-17.69,54.36,ACCURACY_VERYGOOD
1481637054944,-6.53,-18.53,54.77,ACCURACY_VERYGOOD
1481637055245,-3.05,-16.44,52.61,ACCURACY_VERYGOOD
1481637055568,-1.62,-17.69,52.19,ACCURACY_VERYGOOD
1481637055845,-0.23,-13.43,50.03,ACCURACY_VERYGOOD
1481637056141,-4.44,-15.53,52.19,ACCURACY_VERYGOOD
1481637056440,-7.19,-22.68,54.18,ACCURACY_VERYGOOD
1481637056641,-5.81,-22.5,53.45,ACCURACY_VERYGOOD
1481637056842,-5.15,-20.76,52.61,ACCURACY_VERYGOOD
1481637057160,-2.33,-19.02,53.87,ACCURACY_VERYGOOD
1481637057441,-1.62,-20.34,53.45,ACCURACY_VERYGOOD
1481637057737,1.07,-12.3,51.11,ACCURACY_VERYGOOD
1481637058040,-3.72,-18.11,55.61,ACCURACY_VERYGOOD
1481637058337,-10.01,-25.79,54.53,ACCURACY_VERYGOOD
1481637058638,-7.19,-24.71,53.52,ACCURACY_VERYGOOD
1481637058935,-3.72,-25.37,53.27,ACCURACY_VERYGOOD
1481637059234,-3.05,-21.18,53.87,ACCURACY_VERYGOOD
1481637059437,-3.72,-20.93,53.27,ACCURACY_VERYGOOD
1481637059749,-2.33,-9.89,52.61,ACCURACY_VERYGOOD
1481637060034,-9.3,-18.77,55.43,ACCURACY_VERYGOOD
1481637060237,-10.01,-26.81,55.68,ACCURACY_VERYGOOD
1481637060531,-9.3,-21.18,56.03,ACCURACY_VERYGOOD
1481637060834,-7.19,-22.07,54.36,ACCURACY_VERYGOOD
1481637061131,-5.15,-18.11,55.61,ACCURACY_VERYGOOD
1481637061432,-3.72,-13.73,55.61,ACCURACY_VERYGOOD
1481637061729,-3.72,-14.21,54.77,ACCURACY_VERYGOOD
1481637062031,-10.73,-23.1,57.53,ACCURACY_VERYGOOD
1481637062324,-10.73,-20.27,57.77,ACCURACY_VERYGOOD
1481637062632,-7.19,-21.77,57.95,ACCURACY_VERYGOOD
1481637062927,-5.81,-29.03,55.61,ACCURACY_VERYGOOD
1481637063232,-4.44,-24.84,56.27,ACCURACY_VERYGOOD
1481637063524,-3.72,-14.63,56.03,ACCURACY_VERYGOOD
1481637063827,-7.19,-14.88,56.69,ACCURACY_VERYGOOD
1481637064144,-12.11,-25.07,54.77,ACCURACY_VERYGOOD
1481637064422,-11.39,-23.51,58.79,ACCURACY_VERYGOOD
1481637064624,-8.63,-18.47,61.19,ACCURACY_VERYGOOD
1481637064827,-7.91,-19.37,57.29,ACCURACY_VERYGOOD
1481637065135,-7.19,-18.71,59.69,ACCURACY_VERYGOOD
1481637065422,-4.44,-9.77,59.03,ACCURACY_VERYGOOD
1481637065623,-3.05,-8.27,58.85,ACCURACY_VERYGOOD
1481637065824,-3.05,-7.85,57.53,ACCURACY_VERYGOOD
