timestamp,mx,my,mz,mAc
1484218646385,-67.61,-7.98,47.03,ACCURACY_BAD
1484218646678,-66.23,-8.27,45.47,ACCURACY_BAD
1484218646976,-69.72,-7.67,43.61,ACCURACY_BAD
1484218647194,-69.72,-10.19,44.81,ACCURACY_BAD
1484218647472,-68.33,-9.35,44.39,ACCURACY_BAD
1484218647772,-68.33,-9.35,44.39,ACCURACY_BAD
1484218648069,-69,-8.69,46.79,ACCURACY_BAD
1484218648273,-67.61,-10.01,44.21,ACCURACY_BAD
1484218648570,-69.72,-9.11,45.95,ACCURACY_BAD
1484218648870,-67.61,-9.11,45.95,ACCURACY_BAD
1484218649072,-68.33,-10.43,45.53,ACCURACY_BAD
1484218649274,-68.33,-10.01,46.37,ACCURACY_BAD
1484218649568,-69,-8.69,44.63,ACCURACY_BAD
1484218649868,-68.33,-6.71,45.29,ACCURACY_BAD
1484218650167,-69,-10.61,46.13,ACCURACY_BAD
1484218650467,-69,-8.27,45.47,ACCURACY_BAD
1484218650676,-69,-8.27,43.37,ACCURACY_BAD
1484218650991,-67.61,-9.3,46.55,ACCURACY_BAD
1484218651264,-69,-10.67,43.97,ACCURACY_BAD
1484218651565,-68.33,-10.67,43.97,ACCURACY_BAD
1484218651865,-69,-9.35,44.39,ACCURACY_BAD
1484218652178,-69.72,-8.88,45.29,ACCURACY_BAD
1484218652461,-68.33,-7.85,44.21,ACCURACY_BAD
1484218652662,-69,-9.17,43.79,ACCURACY_BAD
1484218652865,-68.33,-9.59,45.05,ACCURACY_BAD
1484218653161,-68.33,-8.46,44.04,ACCURACY_BAD
1484218653383,-69,-8.27,45.47,ACCURACY_BAD
1484218653661,-69,-9.77,45.71,ACCURACY_BAD
1484218653959,-69.72,-9.35,44.39,ACCURACY_BAD
1484218654263,-69,-8.69,44.63,ACCURACY_BAD
1484218654557,-69.72,-8.03,44.81,ACCURACY_BAD
1484218654780,-67.61,-9.11,45.95,ACCURACY_BAD
1484218655056,-67.61,-8.46,44.04,ACCURACY_BAD
1484218655356,-69.72,-10.01,46.37,ACCURACY_BAD
1484218655664,-66.95,-10.85,44.63,ACCURACY_BAD
1484218655955,-69.72,-9.11,45.95,ACCURACY_BAD
1484218656169,-69,-9.35,44.39,ACCURACY_BAD
1484218656453,-69.72,-8.46,44.04,ACCURACY_BAD
1484218656654,-69.72,-8.46,44.04,ACCURACY_BAD
1484218656955,-68.33,-8.69,44.63,ACCURACY_BAD
1484218657253,-66.23,-9.11,45.95,ACCURACY_BAD
1484218657574,-69.72,-8.03,44.81,ACCURACY_BAD
1484218657851,-68.33,-9.35,44.39,ACCURACY_BAD
1484218658151,-69,-9.77,45.71,ACCURACY_BAD
1484218658359,-69,-7.79,46.37,ACCURACY_BAD
