timestamp,mx,my,mz,mAc
1481600789981,-15.42,-16.26,-11.21,ACCURACY_VERYGOOD
1481600790278,-14.69,-17.34,-12.23,ACCURACY_VERYGOOD
1481600790485,-14.69,-18,-10.38,ACCURACY_VERYGOOD
1481600790779,-14.69,-16.26,-11.21,ACCURACY_VERYGOOD
1481600790999,-15.42,-17.15,-12.96,ACCURACY_VERYGOOD
1481600791277,-14.03,-17.57,-9.47,ACCURACY_VERYGOOD
1481600791579,-10.55,-18.05,-14.63,ACCURACY_VERYGOOD
1481600791879,-9.84,-15.89,-16.73,ACCURACY_VERYGOOD
1481600792177,-8.46,-18.95,-14.21,ACCURACY_VERYGOOD
1481600792398,-6.35,-21.47,-12.89,ACCURACY_VERYGOOD
1481600792675,-5.63,-17.81,-13.13,ACCURACY_VERYGOOD
1481600792974,-5.63,-19.85,-15.89,ACCURACY_VERYGOOD
1481600793281,-4.98,-19.37,-15.05,ACCURACY_VERYGOOD
1481600793573,-5.63,-17.39,-16.55,ACCURACY_VERYGOOD
1481600793795,-6.35,-18.11,-16.79,ACCURACY_VERYGOOD
1481600794073,-6.35,-16.79,-16.37,ACCURACY_VERYGOOD
1481600794372,-6.35,-16.79,-16.37,ACCURACY_VERYGOOD
1481600794675,-5.63,-17.63,-15.89,ACCURACY_VERYGOOD
1481600794973,-6.35,-17.21,-15.05,ACCURACY_VERYGOOD
1481600795192,-4.98,-18.29,-16.13,ACCURACY_VERYGOOD
1481600795470,-4.98,-18.95,-14.21,ACCURACY_VERYGOOD
1481600795768,-4.98,-20.03,-15.23,ACCURACY_VERYGOOD
1481600795970,-6.35,-19.13,-15.65,ACCURACY_VERYGOOD
1481600796274,-7.01,-17.03,-19.97,ACCURACY_VERYGOOD
1481600796567,-5.63,-17.39,-16.55,ACCURACY_VERYGOOD
1481600796789,-6.35,-17.45,-18.71,ACCURACY_VERYGOOD
1481600797066,-6.35,-18.71,-16.97,ACCURACY_VERYGOOD
1481600797368,-7.73,-17.21,-17.15,ACCURACY_VERYGOOD
1481600797667,-5.63,-17.63,-15.89,ACCURACY_VERYGOOD
1481600797964,-5.63,-16.13,-18.29,ACCURACY_VERYGOOD
1481600798187,-9.84,-25.79,-17.81,ACCURACY_VERYGOOD
1481600798463,-4.25,-20.69,-19.79,ACCURACY_VERYGOOD
1481600798764,-2.87,-21,-21.23,ACCURACY_VERYGOOD
1481600799063,-4.98,-18.6,-19.79,ACCURACY_VERYGOOD
1481600799265,-4.98,-16.79,-16.37,ACCURACY_VERYGOOD
1481600799560,-6.35,-19.02,-20.57,ACCURACY_VERYGOOD
1481600799779,-4.98,-16.85,-20.57,ACCURACY_VERYGOOD
1481600800061,-4.98,-15.96,-21.05,ACCURACY_VERYGOOD
1481600800360,-6.35,-18.18,-21,ACCURACY_VERYGOOD
1481600800660,-5.63,-17.69,-20.15,ACCURACY_VERYGOOD
1481600800862,-6.35,-15.71,-21.71,ACCURACY_VERYGOOD
1481600801157,-5.63,-17.76,-22.31,ACCURACY_VERYGOOD
1481600801380,-5.63,-17.03,-22.13,ACCURACY_VERYGOOD
1481600801657,-5.63,-17.03,-22.13,ACCURACY_VERYGOOD
1481600801863,-6.35,-17.03,-22.13,ACCURACY_VERYGOOD
1481600802156,-7.01,-16.37,-19.73,ACCURACY_VERYGOOD
1481600802459,-5.63,-18.18,-21,ACCURACY_VERYGOOD
1481600802754,-6.35,-16.85,-20.57,ACCURACY_VERYGOOD
1481600802974,-6.35,-14.88,-19.97,ACCURACY_VERYGOOD
1481600803253,-4.98,-16.85,-20.57,ACCURACY_VERYGOOD
1481600803554,-3.53,-16.19,-20.39,ACCURACY_VERYGOOD
1481600803763,-4.98,-18.18,-21,ACCURACY_VERYGOOD
1481600804055,-7.73,-16.85,-20.57,ACCURACY_VERYGOOD
1481600804352,-7.01,-18.18,-21,ACCURACY_VERYGOOD
1481600804574,-5.63,-17.03,-19.97,ACCURACY_VERYGOOD
1481600804853,-6.35,-16.85,-20.57,ACCURACY_VERYGOOD
1481600805152,-6.35,-17.27,-21.47,ACCURACY_VERYGOOD
1481600805452,-7.01,-16.85,-20.57,ACCURACY_VERYGOOD
1481600805750,-7.01,-18.77,-21.23,ACCURACY_VERYGOOD
1481600805965,-7.01,-14.69,-22.73,ACCURACY_VERYGOOD
1481600806250,-6.35,-15.71,-21.71,ACCURACY_VERYGOOD
1481600806548,-6.35,-18.6,-19.79,ACCURACY_VERYGOOD
1481600806852,-5.63,-18.35,-20.39,ACCURACY_VERYGOOD
1481600807148,-6.35,-19.02,-20.57,ACCURACY_VERYGOOD
1481600807358,-6.35,-17.94,-21.71,ACCURACY_VERYGOOD
1481600807645,-4.98,-16.44,-21.89,ACCURACY_VERYGOOD
1481600807847,-7.01,-15.53,-20.15,ACCURACY_VERYGOOD
1481600808145,-5.63,-17.52,-22.97,ACCURACY_VERYGOOD
1481600808446,-5.63,-17.03,-22.13,ACCURACY_VERYGOOD
1481600808759,-6.35,-18.11,-18.89,ACCURACY_VERYGOOD
1481600809043,-5.63,-16.85,-20.57,ACCURACY_VERYGOOD
1481600809342,-4.25,-17.27,-21.47,ACCURACY_VERYGOOD
1481600809647,-7.73,-16.44,-21.89,ACCURACY_VERYGOOD
1481600809941,-6.35,-15.53,-20.15,ACCURACY_VERYGOOD
1481600810164,-7.01,-15.53,-20.15,ACCURACY_VERYGOOD
1481600810439,-6.35,-17.45,-20.81,ACCURACY_VERYGOOD
1481600810739,-7.01,-18.18,-21,ACCURACY_VERYGOOD
1481600810940,-7.01,-16.85,-20.57,ACCURACY_VERYGOOD
1481600811239,-5.63,-17.27,-21.47,ACCURACY_VERYGOOD
1481600811440,-5.63,-17.69,-20.15,ACCURACY_VERYGOOD
1481600811737,-6.35,-16.61,-21.29,ACCURACY_VERYGOOD
1481600811952,-4.25,-17.45,-20.81,ACCURACY_VERYGOOD
1481600812235,-5.63,-16.85,-20.57,ACCURACY_VERYGOOD
1481600812436,-7.01,-15.29,-20.87,ACCURACY_VERYGOOD
1481600812737,-7.01,-17.94,-21.71,ACCURACY_VERYGOOD
1481600813037,-6.35,-15.71,-21.71,ACCURACY_VERYGOOD
1481600813334,-7.73,-17.45,-20.81,ACCURACY_VERYGOOD
1481600813550,-6.35,-18.35,-20.39,ACCURACY_VERYGOOD
1481600813832,-5.63,-15.53,-20.15,ACCURACY_VERYGOOD
1481600814133,-7.01,-16.85,-20.57,ACCURACY_VERYGOOD
1481600814435,-5.63,-15.96,-21.05,ACCURACY_VERYGOOD
1481600814730,-5.63,-15.35,-22.92,ACCURACY_VERYGOOD
1481600814953,-6.35,-17.03,-22.13,ACCURACY_VERYGOOD
1481600815231,-7.01,-17.27,-21.47,ACCURACY_VERYGOOD
1481600815530,-4.98,-18.18,-21,ACCURACY_VERYGOOD
1481600815831,-7.01,-16.85,-20.57,ACCURACY_VERYGOOD
1481600816129,-7.73,-16.85,-22.73,ACCURACY_VERYGOOD
1481600816429,-4.25,-15.71,-21.71,ACCURACY_VERYGOOD
1481600816751,-4.98,-15.96,-21.05,ACCURACY_VERYGOOD
1481600817026,-7.01,-15.71,-21.71,ACCURACY_VERYGOOD
1481600817227,-5.63,-16.61,-21.29,ACCURACY_VERYGOOD
1481600817527,-5.63,-16.19,-22.55,ACCURACY_VERYGOOD
1481600817826,-5.63,-15.71,-21.71,ACCURACY_VERYGOOD
1481600818027,-7.01,-15.11,-21.47,ACCURACY_VERYGOOD
1481600818346,-7.01,-16.85,-20.57,ACCURACY_VERYGOOD
1481600818624,-5.63,-15.96,-21.05,ACCURACY_VERYGOOD
1481600818924,-4.98,-15.53,-22.31,ACCURACY_VERYGOOD
1481600819225,-4.25,-15.71,-21.71,ACCURACY_VERYGOOD
1481600819523,-6.35,-15.53,-20.15,ACCURACY_VERYGOOD
1481600819822,-7.73,-15.96,-21.05,ACCURACY_VERYGOOD
1481600820142,-5.63,-15.96,-21.05,ACCURACY_VERYGOOD
1481600820421,-7.01,-16.44,-21.89,ACCURACY_VERYGOOD
1481600820720,-5.63,-16.44,-21.89,ACCURACY_VERYGOOD
1481600821023,-6.35,-15.29,-20.87,ACCURACY_VERYGOOD
1481600821318,-4.98,-17.03,-22.13,ACCURACY_VERYGOOD
1481600821540,-6.35,-18.18,-21,ACCURACY_VERYGOOD
1481600821818,-6.35,-14.93,-22.13,ACCURACY_VERYGOOD
1481600822117,-6.35,-17.27,-21.47,ACCURACY_VERYGOOD
1481600822420,-7.73,-15.53,-22.31,ACCURACY_VERYGOOD
1481600822714,-6.35,-15.71,-21.71,ACCURACY_VERYGOOD
1481600822939,-6.35,-15.96,-21.05,ACCURACY_VERYGOOD
1481600823215,-4.98,-14.63,-20.63,ACCURACY_VERYGOOD
1481600823514,-7.01,-17.76,-22.31,ACCURACY_VERYGOOD
1481600823818,-7.73,-15.71,-21.71,ACCURACY_VERYGOOD
1481600824112,-6.35,-14.03,-22.5,ACCURACY_VERYGOOD
1481600824335,-5.63,-15.11,-21.47,ACCURACY_VERYGOOD
1481600824612,-4.98,-17.69,-20.15,ACCURACY_VERYGOOD
1481600824911,-4.98,-17.27,-21.47,ACCURACY_VERYGOOD
1481600825114,-5.63,-15.11,-21.47,ACCURACY_VERYGOOD
1481600825412,-7.01,-15.96,-21.05,ACCURACY_VERYGOOD
1481600825734,-7.01,-15.35,-22.92,ACCURACY_VERYGOOD
1481600826009,-6.35,-17.76,-22.31,ACCURACY_VERYGOOD
1481600826309,-6.35,-17.27,-21.47,ACCURACY_VERYGOOD
1481600826510,-8.46,-16.19,-22.55,ACCURACY_VERYGOOD
1481600826809,-6.35,-16.44,-21.89,ACCURACY_VERYGOOD
1481600827107,-7.01,-15.35,-22.92,ACCURACY_VERYGOOD
1481600827321,-7.01,-15.29,-20.87,ACCURACY_VERYGOOD
1481600827608,-6.35,-17.27,-21.47,ACCURACY_VERYGOOD
1481600827905,-7.01,-14.46,-23.39,ACCURACY_VERYGOOD
1481600828203,-4.98,-16.19,-22.55,ACCURACY_VERYGOOD
1481600828409,-4.98,-15.71,-21.71,ACCURACY_VERYGOOD
1481600828702,-4.98,-16.61,-21.29,ACCURACY_VERYGOOD
1481600828926,-6.35,-15.53,-20.15,ACCURACY_VERYGOOD
1481600829204,-4.98,-17.52,-22.97,ACCURACY_VERYGOOD
1481600829503,-5.63,-16.44,-21.89,ACCURACY_VERYGOOD
1481600829802,-6.35,-15.96,-21.05,ACCURACY_VERYGOOD
1481600830102,-7.01,-17.03,-22.13,ACCURACY_VERYGOOD
1481600830404,-5.63,-15.53,-22.31,ACCURACY_VERYGOOD
1481600830719,-6.35,-16.19,-22.55,ACCURACY_VERYGOOD
1481600830999,-7.01,-15.29,-20.87,ACCURACY_VERYGOOD
1481600831202,-5.63,-16.61,-21.29,ACCURACY_VERYGOOD
1481600831499,-5.63,-17.03,-22.13,ACCURACY_VERYGOOD
1481600831799,-6.35,-14.88,-19.97,ACCURACY_VERYGOOD
1481600832100,-5.63,-17.45,-20.81,ACCURACY_VERYGOOD
1481600832328,-6.35,-15.96,-21.05,ACCURACY_VERYGOOD
1481600832595,-4.25,-15.53,-22.31,ACCURACY_VERYGOOD
1481600832798,-6.35,-15.53,-22.31,ACCURACY_VERYGOOD
1481600833003,-5.63,-16.44,-21.89,ACCURACY_VERYGOOD
1481600833294,-4.98,-15.71,-21.71,ACCURACY_VERYGOOD
1481600833518,-5.63,-15.11,-21.47,ACCURACY_VERYGOOD
1481600833793,-4.98,-15.77,-23.87,ACCURACY_VERYGOOD
1481600834094,-6.35,-14.93,-22.13,ACCURACY_VERYGOOD
1481600834395,-6.35,-15.71,-21.71,ACCURACY_VERYGOOD
1481600834691,-7.01,-14.46,-23.39,ACCURACY_VERYGOOD
1481600834913,-4.98,-15.53,-22.31,ACCURACY_VERYGOOD
1481600835191,-7.01,-16.44,-21.89,ACCURACY_VERYGOOD
1481600835491,-7.01,-16.61,-21.29,ACCURACY_VERYGOOD
1481600835792,-5.63,-17.03,-22.13,ACCURACY_VERYGOOD
1481600835994,-7.73,-17.03,-22.13,ACCURACY_VERYGOOD
1481600836292,-6.35,-15.35,-22.92,ACCURACY_VERYGOOD
1481600836504,-7.01,-16.68,-23.39,ACCURACY_VERYGOOD
1481600836787,-6.35,-15.71,-21.71,ACCURACY_VERYGOOD
1481600837088,-5.63,-15.53,-22.31,ACCURACY_VERYGOOD
1481600837389,-6.35,-15.35,-22.92,ACCURACY_VERYGOOD
1481600837685,-5.63,-13.79,-23.21,ACCURACY_VERYGOOD
1481600837900,-7.73,-14.27,-24.05,ACCURACY_VERYGOOD
1481600838185,-5.63,-14.93,-22.13,ACCURACY_VERYGOOD
1481600838485,-5.63,-14.03,-22.5,ACCURACY_VERYGOOD
1481600838783,-7.73,-14.03,-22.5,ACCURACY_VERYGOOD
1481600838986,-5.63,-14.46,-21.23,ACCURACY_VERYGOOD
1481600839283,-5.63,-14.69,-22.73,ACCURACY_VERYGOOD
1481600839506,-4.98,-16.61,-21.29,ACCURACY_VERYGOOD
1481600839781,-4.25,-16.19,-22.55,ACCURACY_VERYGOOD
1481600840082,-4.98,-15.53,-22.31,ACCURACY_VERYGOOD
1481600840382,-4.98,-16.68,-23.39,ACCURACY_VERYGOOD
1481600840683,-5.63,-12.77,-24.23,ACCURACY_VERYGOOD
1481600840981,-4.25,-14.93,-22.13,ACCURACY_VERYGOOD
1481600841183,-7.01,-14.93,-22.13,ACCURACY_VERYGOOD
1481600841479,-4.98,-13.79,-23.21,ACCURACY_VERYGOOD
1481600841700,-6.35,-14.27,-24.05,ACCURACY_VERYGOOD
1481600841981,-7.01,-13.79,-23.21,ACCURACY_VERYGOOD
