timestamp,mx,my,mz,mAc
1482742110120,-50.21,-31.85,55.61,ACCURACY_BAD
1482742110409,-49.5,-37.5,45.95,ACCURACY_BAD
1482742110615,-50.21,-37.31,43.13,ACCURACY_BAD
1482742110907,-53.69,-24.77,62.81,ACCURACY_BAD
1482742111210,-37.61,-35.34,70.73,ACCURACY_BAD
1482742111517,-36.95,-33.84,70.55,ACCURACY_BAD
1482742111809,-38.34,-37.31,70.08,ACCURACY_BAD
1482742112107,-36.95,-38.45,69.05,ACCURACY_BAD
1482742112406,-34.86,-37.13,69.47,ACCURACY_BAD
1482742112609,-34.13,-36.23,69.05,ACCURACY_BAD
1482742112902,-35.52,-39.77,68.63,ACCURACY_BAD
1482742113205,-37.61,-39.54,67.97,ACCURACY_BAD
1482742113501,-35.52,-37.79,67.08,ACCURACY_BAD
1482742113702,-35.52,-39.36,67.37,ACCURACY_BAD
1482742114004,-34.86,-38.87,68.22,ACCURACY_BAD
1482742114205,-35.52,-39.11,66.65,ACCURACY_BAD
1482742114499,-35.52,-37.73,69.23,ACCURACY_BAD
1482742114807,-36.95,-38.45,66.9,ACCURACY_BAD
1482742115121,-35.52,-37.13,67.31,ACCURACY_BAD
1482742115398,-36.23,-38.21,68.4,ACCURACY_BAD
1482742115600,-37.61,-38.87,68.22,ACCURACY_BAD
1482742115802,-34.86,-38.63,67.55,ACCURACY_BAD
1482742116096,-35.52,-37.43,65.81,ACCURACY_BAD
1482742116400,-35.52,-37.97,69.9,ACCURACY_BAD
1482742116710,-34.86,-39.77,66.47,ACCURACY_BAD
1482742116999,-34.86,-37.55,68.63,ACCURACY_BAD
1482742117294,-35.52,-38.21,66.23,ACCURACY_BAD
1482742117598,-36.23,-38.04,67.79,ACCURACY_BAD
1482742117916,-34.86,-39.95,67.13,ACCURACY_BAD
1482742118193,-35.52,-38.63,67.55,ACCURACY_BAD
1482742118493,-36.23,-36.47,67.5,ACCURACY_BAD
1482742118798,-34.86,-38.04,67.79,ACCURACY_BAD
1482742119088,-35.52,-37.61,66.47,ACCURACY_BAD
1482742119393,-34.86,-38.63,69.65,ACCURACY_BAD
1482742119692,-35.52,-38.63,67.55,ACCURACY_BAD
1482742119990,-35.52,-38.21,68.4,ACCURACY_BAD
1482742120288,-35.52,-38.21,68.4,ACCURACY_BAD
1482742120590,-34.86,-38.45,69.05,ACCURACY_BAD
1482742120791,-36.23,-38.21,68.4,ACCURACY_BAD
1482742121088,-36.95,-39.29,69.47,ACCURACY_BAD
1482742121387,-34.86,-37.13,67.31,ACCURACY_BAD
1482742121590,-37.61,-38.04,67.79,ACCURACY_BAD
1482742121884,-35.52,-38.21,68.4,ACCURACY_BAD
1482742122091,-35.52,-37.79,67.08,ACCURACY_BAD
1482742122388,-35.52,-38.04,67.79,ACCURACY_BAD
