timestamp,mx,my,mz,mAc
1482900495282,10.43,-33.95,32.88,ACCURACY_BAD
1482900495575,10.43,-31.31,31.61,ACCURACY_BAD
1482900495877,10.43,-30.47,31.19,ACCURACY_BAD
1482900496082,11.09,-29.81,31.37,ACCURACY_BAD
1482900496372,9.71,-30.29,30.53,ACCURACY_BAD
1482900496673,11.81,-30.71,29.63,ACCURACY_BAD
1482900496875,11.09,-30.47,29.03,ACCURACY_BAD
1482900497171,11.81,-30.71,31.79,ACCURACY_BAD
1482900497475,9.71,-30,32.04,ACCURACY_BAD
1482900497770,10.43,-30.71,31.79,ACCURACY_BAD
1482900498073,10.43,-31.79,30.77,ACCURACY_BAD
1482900498371,11.81,-30.89,30.35,ACCURACY_BAD
1482900498580,11.09,-31.31,31.61,ACCURACY_BAD
1482900498869,11.09,-29.39,30.11,ACCURACY_BAD
1482900499166,9.71,-31.13,30.95,ACCURACY_BAD
1482900499468,10.43,-30.29,30.53,ACCURACY_BAD
1482900499670,11.09,-31.13,30.95,ACCURACY_BAD
1482900499965,9.71,-29.57,30.77,ACCURACY_BAD
1482900500266,11.09,-29.81,31.37,ACCURACY_BAD
1482900500467,9.05,-29.81,31.37,ACCURACY_BAD
1482900500761,11.81,-30.47,31.19,ACCURACY_BAD
1482900500963,11.81,-29.57,30.77,ACCURACY_BAD
1482900501265,10.43,-31.79,30.77,ACCURACY_BAD
1482900501577,11.81,-31.13,33.11,ACCURACY_BAD
1482900501861,11.81,-31.55,32.21,ACCURACY_BAD
1482900502062,11.81,-30.23,32.63,ACCURACY_BAD
1482900502361,10.43,-33.11,32.45,ACCURACY_BAD
1482900502666,11.09,-29.15,31.61,ACCURACY_BAD
1482900502958,9.71,-32.45,32.7,ACCURACY_BAD
1482900503261,10.43,-31.13,30.95,ACCURACY_BAD
1482900503559,11.81,-30.71,31.79,ACCURACY_BAD
1482900503859,9.71,-30,32.04,ACCURACY_BAD
1482900504062,9.05,-30.29,30.53,ACCURACY_BAD
1482900504356,10.43,-31.55,32.21,ACCURACY_BAD
1482900504658,11.81,-29.39,32.21,ACCURACY_BAD
1482900504973,9.71,-31.55,32.21,ACCURACY_BAD
1482900505260,10.43,-31.73,32.93,ACCURACY_BAD
1482900505554,11.09,-30.42,33.36,ACCURACY_BAD
1482900505863,11.09,-33.29,33.11,ACCURACY_BAD
1482900506151,11.81,-30.23,32.63,ACCURACY_BAD
1482900506376,9.71,-30,32.04,ACCURACY_BAD
