timestamp,mx,my,mz,mAc
1482899991165,-6.96,-12.05,79.73,ACCURACY_BAD
1482899991369,-13.19,-14.69,81.05,ACCURACY_BAD
1482899991570,-13.19,-37.91,74.22,ACCURACY_BAD
1482899991772,-9.05,-14.21,81.9,ACCURACY_BAD
1482899992068,-9.71,-4.61,81.47,ACCURACY_BAD
1482899992369,-11.15,-6.29,75.29,ACCURACY_BAD
1482899992667,-11.81,-5.46,72.72,ACCURACY_BAD
1482899992967,-11.15,-5.46,72.72,ACCURACY_BAD
1482899993266,-14.63,-5.15,74.15,ACCURACY_BAD
1482899993565,-11.81,-6.05,74.58,ACCURACY_BAD
1482899993865,-11.15,-6.65,74.4,ACCURACY_BAD
1482899994163,-9.71,-10.01,75.47,ACCURACY_BAD
1482899994366,-11.81,-7.61,74.81,ACCURACY_BAD
1482899994661,-9.71,-8.22,76.73,ACCURACY_BAD
1482899994864,-9.05,-9.11,75.05,ACCURACY_BAD
1482899995162,-9.71,-9.53,76.31,ACCURACY_BAD
1482899995462,-10.43,-10.01,75.47,ACCURACY_BAD
1482899995765,-12.53,-9.59,74.22,ACCURACY_BAD
1482899996063,-10.43,-7.61,74.81,ACCURACY_BAD
1482899996361,-9.71,-6.65,74.4,ACCURACY_BAD
1482899996659,-11.81,-9.35,73.5,ACCURACY_BAD
1482899996962,-11.81,-9.17,72.9,ACCURACY_BAD
1482899997261,-9.71,-7.13,73.55,ACCURACY_BAD
1482899997558,-10.43,-8.39,75.23,ACCURACY_BAD
1482899997857,-11.15,-8.88,74.4,ACCURACY_BAD
1482899998157,-11.81,-8.39,75.23,ACCURACY_BAD
1482899998359,-9.71,-7.79,75.47,ACCURACY_BAD
1482899998655,-11.15,-8.88,74.4,ACCURACY_BAD
1482899998956,-11.15,-7.98,76.08,ACCURACY_BAD
1482899999254,-11.15,-8.63,75.9,ACCURACY_BAD
1482899999553,-9.71,-9.35,73.5,ACCURACY_BAD
1482899999853,-10.43,-8.93,72.23,ACCURACY_BAD
1482900000154,-11.15,-9.11,75.05,ACCURACY_BAD
1482900000451,-11.81,-9.77,74.81,ACCURACY_BAD
1482900000751,-10.43,-6.29,75.29,ACCURACY_BAD
1482900001050,-9.71,-7.98,73.97,ACCURACY_BAD
1482900001350,-11.15,-9.35,71.4,ACCURACY_BAD
1482900001551,-11.15,-7.98,73.97,ACCURACY_BAD
1482900001850,-9.71,-10.19,73.97,ACCURACY_BAD
1482900002148,-10.43,-8.46,73.08,ACCURACY_BAD
1482900002349,-11.15,-7.98,73.97,ACCURACY_BAD
1482900002648,-9.71,-8.39,75.23,ACCURACY_BAD
1482900002950,-9.05,-7.98,73.97,ACCURACY_BAD
1482900003251,-11.15,-8.27,72.47,ACCURACY_BAD
1482900003546,-9.05,-7.79,73.31,ACCURACY_BAD
1482900003845,-9.05,-7.79,73.31,ACCURACY_BAD
1482900004145,-9.05,-6.96,72.9,ACCURACY_BAD
1482900004346,-9.71,-10.92,73.73,ACCURACY_BAD
1482900004643,-10.43,-7.79,73.31,ACCURACY_BAD
1482900004943,-9.71,-7.98,73.97,ACCURACY_BAD
1482900005150,-10.43,-8.22,74.63,ACCURACY_BAD
1482900005441,-9.71,-8.69,73.73,ACCURACY_BAD
1482900005744,-11.15,-9.11,75.05,ACCURACY_BAD
1482900006045,-10.43,-7.13,73.55,ACCURACY_BAD
1482900006342,-10.43,-7.13,73.55,ACCURACY_BAD
1482900006639,-10.43,-8.69,73.73,ACCURACY_BAD
1482900006843,-9.05,-8.88,74.4,ACCURACY_BAD
1482900007140,-8.34,-7.79,75.47,ACCURACY_BAD
1482900007445,-9.05,-9.11,75.05,ACCURACY_BAD
1482900007737,-9.05,-8.69,73.73,ACCURACY_BAD
1482900008037,-10.43,-6.53,71.58,ACCURACY_BAD
1482900008336,-11.15,-7.98,73.97,ACCURACY_BAD
1482900008538,-10.43,-6.77,72.29,ACCURACY_BAD
1482900008836,-10.43,-6.53,69.47,ACCURACY_BAD
1482900009135,-11.81,-8.03,71.87,ACCURACY_BAD
1482900009434,-9.71,-6.05,72.47,ACCURACY_BAD
1482900009734,-10.43,-7.37,74.15,ACCURACY_BAD
1482900009936,-9.71,-6.96,72.9,ACCURACY_BAD
1482900010232,-10.43,-7.37,72.05,ACCURACY_BAD
1482900010532,-9.71,-8.69,73.73,ACCURACY_BAD
1482900010830,-10.43,-8.88,74.4,ACCURACY_BAD
1482900011031,-9.71,-7.79,73.31,ACCURACY_BAD
1482900011333,-9.05,-8.88,74.4,ACCURACY_BAD
1482900011630,-9.71,-9.59,74.22,ACCURACY_BAD
1482900011930,-11.15,-11.09,74.4,ACCURACY_BAD
1482900012131,-10.43,-8.22,74.63,ACCURACY_BAD
1482900012427,-11.81,-8.88,74.4,ACCURACY_BAD
1482900012731,-9.71,-7.13,71.4,ACCURACY_BAD
1482900013027,-11.15,-7.37,72.05,ACCURACY_BAD
1482900013326,-9.71,-6.96,72.9,ACCURACY_BAD
1482900013625,-10.43,-5.87,73.97,ACCURACY_BAD
1482900013925,-9.71,-9.17,72.9,ACCURACY_BAD
1482900014128,-10.43,-8.46,73.08,ACCURACY_BAD
1482900014425,-9.05,-7.55,72.72,ACCURACY_BAD
1482900014727,-9.71,-6.05,74.58,ACCURACY_BAD
1482900015026,-11.15,-6.96,72.9,ACCURACY_BAD
1482900015323,-11.81,-7.55,72.72,ACCURACY_BAD
1482900015621,-9.71,-8.22,74.63,ACCURACY_BAD
1482900015822,-9.05,-7.37,74.15,ACCURACY_BAD
1482900016121,-10.43,-8.22,74.63,ACCURACY_BAD
1482900016423,-9.05,-9.35,73.5,ACCURACY_BAD
1482900016720,-9.71,-6.48,73.73,ACCURACY_BAD
1482900017019,-10.43,-7.98,73.97,ACCURACY_BAD
1482900017321,-9.71,-6.65,74.4,ACCURACY_BAD
1482900017618,-8.34,-6.05,74.58,ACCURACY_BAD
1482900017918,-9.05,-8.69,73.73,ACCURACY_BAD
1482900018217,-9.71,-7.61,74.81,ACCURACY_BAD
1482900018513,-9.71,-6.48,73.73,ACCURACY_BAD
1482900018717,-9.05,-5.81,76.13,ACCURACY_BAD
1482900019015,-8.34,-6.65,74.4,ACCURACY_BAD
1482900019315,-11.15,-6.05,74.58,ACCURACY_BAD
1482900019613,-10.43,-5.87,73.97,ACCURACY_BAD
1482900019911,-10.43,-5.63,73.31,ACCURACY_BAD
1482900020113,-9.71,-8.69,73.73,ACCURACY_BAD
1482900020411,-9.05,-6.05,74.58,ACCURACY_BAD
1482900020612,-9.71,-6.05,74.58,ACCURACY_BAD
1482900020911,-11.15,-6.05,72.47,ACCURACY_BAD
1482900021112,-9.71,-3.24,72.65,ACCURACY_BAD
1482900021411,-11.81,-5.21,72,ACCURACY_BAD
1482900021710,-10.43,-5.46,72.72,ACCURACY_BAD
1482900022009,-8.34,-5.21,72,ACCURACY_BAD
1482900022307,-11.15,-5.87,73.97,ACCURACY_BAD
1482900022511,-11.15,-5.87,73.97,ACCURACY_BAD
1482900022808,-10.43,-6.29,73.13,ACCURACY_BAD
1482900023107,-9.71,-4.31,73.73,ACCURACY_BAD
1482900023407,-8.34,-4.31,71.63,ACCURACY_BAD
1482900023707,-9.71,-4.73,72.9,ACCURACY_BAD
1482900023908,-11.81,-6.48,73.73,ACCURACY_BAD
1482900024206,-10.43,-5.03,71.4,ACCURACY_BAD
1482900024507,-8.34,-5.63,73.31,ACCURACY_BAD
1482900024811,-11.15,-6.05,72.47,ACCURACY_BAD
1482900025103,-8.34,-6.05,72.47,ACCURACY_BAD
1482900025305,-8.34,-6.65,74.4,ACCURACY_BAD
1482900025605,-11.15,-5.63,73.31,ACCURACY_BAD
1482900025902,-9.05,-6.05,72.47,ACCURACY_BAD
1482900026200,-8.34,-6.05,72.47,ACCURACY_BAD
1482900026500,-9.05,-7.07,75.72,ACCURACY_BAD
1482900026702,-10.43,-6.89,75.05,ACCURACY_BAD
1482900026905,-10.43,-7.13,73.55,ACCURACY_BAD
1482900027200,-10.43,-6.05,72.47,ACCURACY_BAD
1482900027498,-11.15,-5.87,73.97,ACCURACY_BAD
1482900027798,-10.43,-6.05,72.47,ACCURACY_BAD
1482900028099,-10.43,-5.15,74.15,ACCURACY_BAD
1482900028305,-10.43,-5.46,72.72,ACCURACY_BAD
1482900028596,-10.43,-5.21,72,ACCURACY_BAD
1482900028797,-11.81,-5.21,72,ACCURACY_BAD
1482900029097,-9.71,-4.61,70.13,ACCURACY_BAD
1482900029399,-10.43,-3.24,72.65,ACCURACY_BAD
1482900029695,-10.43,-6.05,72.47,ACCURACY_BAD
1482900029993,-10.43,-4.98,73.55,ACCURACY_BAD
1482900030195,-10.43,-5.21,72,ACCURACY_BAD
1482900030491,-10.43,-4.55,72.23,ACCURACY_BAD
1482900030692,-9.05,-5.81,71.81,ACCURACY_BAD
1482900030991,-8.34,-7.13,71.4,ACCURACY_BAD
1482900031291,-8.34,-8.03,71.87,ACCURACY_BAD
1482900031492,-9.05,-6.96,70.73,ACCURACY_BAD
1482900031789,-9.05,-3.48,71.22,ACCURACY_BAD
1482900031990,-9.71,-5.87,73.97,ACCURACY_BAD
1482900032290,-9.71,-8.27,72.47,ACCURACY_BAD
1482900032587,-9.05,-7.37,72.05,ACCURACY_BAD
1482900032891,-9.05,-8.03,71.87,ACCURACY_BAD
1482900033187,-9.05,-7.79,73.31,ACCURACY_BAD
1482900033487,-8.34,-9.35,73.5,ACCURACY_BAD
1482900033689,-9.71,-9.17,72.9,ACCURACY_BAD
1482900033986,-9.71,-10.01,73.31,ACCURACY_BAD
1482900034285,-9.05,-9.77,72.65,ACCURACY_BAD
1482900034585,-7.61,-8.88,74.4,ACCURACY_BAD
1482900034884,-9.05,-8.46,73.08,ACCURACY_BAD
1482900035185,-7.61,-8.27,72.47,ACCURACY_BAD
1482900035483,-6.96,-5.81,71.81,ACCURACY_BAD
1482900035782,-9.05,-8.27,72.47,ACCURACY_BAD
1482900036081,-9.71,-8.46,73.08,ACCURACY_BAD
1482900036381,-9.05,-7.98,73.97,ACCURACY_BAD
1482900036680,-9.05,-8.39,75.23,ACCURACY_BAD
1482900036980,-9.05,-8.81,76.5,ACCURACY_BAD
1482900037279,-8.34,-7.37,74.15,ACCURACY_BAD
1482900037578,-9.71,-9.77,74.81,ACCURACY_BAD
1482900037879,-10.43,-11.51,73.55,ACCURACY_BAD
1482900038177,-7.61,-10.19,73.97,ACCURACY_BAD
1482900038474,-7.61,-8.22,74.63,ACCURACY_BAD
1482900038677,-9.71,-8.22,74.63,ACCURACY_BAD
1482900038975,-9.05,-7.79,73.31,ACCURACY_BAD
