timestamp,light
1481953925077,129
1481953925412,71
1481953925614,79
1481953926027,95
1481953926412,112
1481953926822,101
1481953927220,96
1481953927423,79
1481953927809,82
1481953928018,72
1481953928409,89
1481953928828,87
1481953929207,75
1481953929606,100
1481953929814,88
1481953930201,71
1481953930447,95
1481953930803,77
1481953931201,64
1481953931624,79
1481953932030,64
1481953932416,70
1481953932796,101
1481953933003,97
1481953933415,111
1481953933631,120
1481953933994,113
1481953934205,151
1481953934599,205
1481953935058,249
1481953935395,313
1481953935792,213
1481953935993,211
1481953936200,288
1481953936605,306
1481953936989,135
1481953937189,151
1481953937589,431
1481953938025,198
1481953938387,162
1481953938587,195
1481953938791,195
1481953939183,226
1481953939404,172
1481953939785,270
1481953940193,357
1481953940582,195
1481953940793,310
1481953941001,439
1481953941400,172
1481953941778,105
1481953942027,105
1481953942379,304
1481953942580,267
1481953942807,121
1481953943175,120
1481953943397,128
1481953943776,87
1481953943986,84
1481953944373,139
1481953944602,104
1481953944975,181
1481953945372,151
1481953945572,87
1481953945784,104
1481953946171,133
1481953946373,135
1481953946780,82
1481953947182,64
1481953947398,63
1481953947768,63
1481953947991,66
1481953948368,79
1481953948589,89
1481953948969,128
1481953949398,133
1481953949766,119
1481953950163,99
1481953950388,100
1481953950766,108
1481953950974,118
1481953951361,89
1481953951572,89
1481953951959,113
1481953952397,102
1481953952761,115
1481953953157,120
1481953953363,113
1481953953758,141
1481953954155,120
1481953954396,138
1481953954757,128
1481953954970,159
1481953955354,218
1481953955563,158
1481953955964,160
1481953956208,150
1481953956551,208
1481953956976,151
1481953957349,231
1481953957748,177
1481953957958,177
1481953958348,132
1481953958745,298
1481953958948,308
1481953959176,144
1481953959545,137
1481953959943,452
1481953960143,368
1481953960343,148
1481953960743,102
1481953960962,102
1481953961340,105
1481953961581,125
1481953961938,99
1481953962180,101
1481953962538,128
1481953962749,146
1481953963138,112
1481953963363,117
1481953963738,126
1481953963948,104
1481953964335,90
1481953964570,80
1481953964934,73
1481953965331,104
1481953965547,110
1481953965934,123
1481953966344,113
1481953966745,126
1481953966948,128
1481953967327,139
1481953967528,139
1481953967738,138
1481953968142,159
1481953968537,130
1481953968927,128
1481953969332,124
1481953969726,133
1481953969926,127
1481953970134,129
1481953970541,121
1481953970742,121
1481953971122,127
1481953971331,133
1481953971533,138
1481953971933,131
1481953972144,130
1481953972521,133
1481953972728,131
1481953973118,135
1481953973533,132
1481953973919,137
1481953974148,133
1481953974517,134
1481953974725,138
1481953975115,170
1481953975533,142
1481953975914,141
1481953976324,82
1481953976723,52
1481953976933,100
1481953977311,130
1481953977517,131
1481953977909,102
1481953978332,143
1481953978708,116
1481953978913,107
1481953979307,110
1481953979729,82
1481953980105,39
1481953980306,38
1481953980513,38
1481953980916,79
1481953981157,71
1481953981503,122
1481953981711,105
1481953982105,94
1481953982523,80
1481953982901,72
1481953983308,100
1481953983712,95
1481953983915,79
1481953984298,70
1481953984710,102
1481953985112,77
1481953985495,65
1481953985906,106
1481953986304,81
1481953986511,76
1481953986892,84
1481953987103,104
1481953987488,79
1481953987689,72
1481953987915,72
1481953988290,113
1481953988687,78
1481953989099,134
1481953989486,120
1481953989687,110
1481953989895,115
1481953990296,141
1481953990517,177
1481953990883,115
1481953991094,118
1481953991494,151
1481953991743,162
1481953992082,123
1481953992290,123
1481953992679,212
1481953993093,111
1481953993490,113
1481953993697,119
1481953993898,137
1481953994279,88
1481953994676,109
1481953995074,117
1481953995292,103
1481953995676,105
1481953996077,102
1481953996473,116
1481953996877,145
1481953997275,159
1481953997667,161
1481953997893,179
1481953998266,144
1481953998466,130
1481953998669,128
1481953998879,159
1481953999126,160
1481953999466,134
1481953999666,134
1481954000111,167
1481954000465,147
1481954000861,115
1481954001063,128
1481954001273,155
1481954001473,149
1481954001863,112
1481954002073,130
1481954002458,144
1481954002688,145
1481954003062,134
1481954003458,141
1481954003659,109
1481954004058,234
1481954004268,293
1481954004664,400
1481954005069,452
1481954005455,483
1481954005655,483
1481954005866,516
1481954006252,334
1481954006481,510
1481954006853,424
1481954007275,562
1481954007670,366
1481954008051,640
1481954008258,313
1481954008648,299
1481954009062,277
1481954009447,483
1481954009658,395
1481954010046,321
1481954010247,469
1481954010644,806
1481954010844,817
1481954011046,884
1481954011455,841
1481954011660,780
1481954012040,840
1481954012247,892
1481954012638,774
1481954012839,790
1481954013070,804
1481954013438,840
1481954013662,810
1481954014037,569
1481954014435,339
1481954014846,498
1481954015233,436
1481954015448,496
1481954015831,466
1481954016032,301
1481954016253,290
1481954016633,181
1481954017031,164
1481954017430,139
1481954017841,151
1481954018230,329
1481954018430,389
1481954018637,375
1481954019027,150
1481954019250,123
1481954019628,115
1481954020038,179
1481954020437,120
1481954020649,112
1481954021023,96
1481954021234,95
1481954021637,110
1481954021842,122
1481954022222,127
1481954022433,93
1481954022823,105
1481954023240,102
1481954023620,101
1481954024031,66
1481954024431,65
1481954024634,74
1481954025017,72
1481954025219,72
1481954025424,71
1481954025815,79
1481954026226,97
1481954026613,82
1481954026813,78
1481954027021,74
1481954027423,77
1481954027637,88
1481954028013,95
1481954028410,93
1481954028613,83
1481954028815,77
1481954029215,85
1481954029426,94
1481954029808,73
1481954030016,71
1481954030407,74
1481954030828,110
1481954031205,87
1481954031616,112
1481954032000,109
1481954032204,120
1481954032601,93
1481954033001,80
1481954033399,92
1481954033615,107
1481954034020,74
1481954034398,87
1481954034604,106
1481954034997,89
1481954035233,87
1481954035613,77
1481954035994,108
1481954036392,84
1481954036662,75
1481954036994,103
1481954037389,86
1481954037592,84
1481954038005,85
1481954038207,74
1481954038591,140
1481954038988,76
1481954039189,62
1481954039616,55
1481954039988,81
1481954040208,70
1481954040584,90
1481954040792,98
1481954041182,81
1481954041383,83
1481954041612,90
1481954041983,68
1481954042408,153
1481954042795,143
1481954043008,72
1481954043380,102
1481954043621,92
1481954043980,68
1481954044186,77
1481954044579,111
1481954045001,119
1481954045377,83
1481954045775,97
1481954046173,105
1481954046386,102
1481954046816,101
1481954047174,101
1481954047385,101
1481954047791,113
1481954048170,106
1481954048375,100
1481954048638,101
1481954048969,115
1481954049178,118
1481954049571,113
1481954050010,110
1481954050366,100
1481954050764,108
1481954051182,109
1481954051564,85
1481954051981,92
1481954052374,137
1481954052773,99
1481954053002,85
1481954053360,90
1481954053757,97
1481954053964,105
1481954054170,117
1481954054581,144
1481954054956,181
1481954055354,96
1481954055563,81
1481954055775,98
1481954056156,113
1481954056567,87
1481954057000,83
1481954057368,75
1481954057750,103
1481954058179,75
1481954058551,77
1481954058761,90
1481954059149,79
1481954059354,73
1481954059762,118
1481954059981,169
1481954060344,220
1481954060554,385
1481954060992,397
1481954061377,588
1481954061743,396
1481954061951,419
1481954062340,499
1481954062542,408
1481954062961,267
1481954063342,402
1481954063766,153
1481954064137,107
1481954064600,98
1481954064936,128
1481954065138,123
1481954065345,110
1481954065750,108
1481954065953,135
1481954066335,120
1481954066572,120
1481954066934,109
1481954067343,110
1481954067552,99
1481954067932,87
1481954068328,105
1481954068530,84
1481954068757,76
1481954068987,61
1481954069328,115
1481954069740,119
1481954070125,102
1481954070333,84
1481954070542,74
1481954070926,86
1481954071322,99
1481954071524,88
1481954071731,83
1481954071942,77
1481954072325,97
1481954072608,116
1481954072921,105
1481954073156,99
1481954073521,80
1481954073918,106
1481954074317,98
1481954074522,89
1481954074779,86
1481954075116,74
1481954075318,92
1481954075715,83
1481954075964,74
1481954076313,65
1481954076527,82
1481954076741,100
1481954077114,87
1481954077321,79
1481954077715,74
1481954078136,99
1481954078512,230
1481954078923,434
1481954079316,434
1481954079562,650
1481954079909,699
1481954080116,640
1481954080508,443
1481954080959,525
1481954081307,477
1481954081703,453
1481954082103,494
1481954082501,398
1481954082730,312
1481954083105,435
1481954083511,445
1481954083901,323
1481954084103,332
1481954084307,425
1481954084772,482
1481954085117,478
1481954085496,326
1481954085697,326
1481954086093,149
1481954086319,223
1481954086697,295
1481954087093,104
1481954087503,185
1481954087891,374
1481954088113,630
1481954088492,172
1481954088698,182
1481954089089,195
1481954089290,248
1481954089522,298
1481954089890,389
1481954090288,241
1481954090692,439
1481954091125,149
1481954091487,189
1481954091742,358
1481954092082,186
1481954092282,98
1481954092482,89
1481954092683,91
1481954093093,166
1481954093536,79
1481954093882,81
1481954094295,94
1481954094708,87
1481954095077,171
1481954095478,213
1481954095706,105
1481954096077,85
1481954096483,84
1481954096909,90
1481954097273,88
1481954097672,100
1481954097920,142
1481954098271,131
1481954098494,131
1481954098871,100
1481954099269,135
1481954099470,127
1481954099868,111
1481954100294,137
1481954100666,123
1481954101067,100
1481954101303,109
1481954101698,97
1481954102062,75
1481954102272,63
1481954102710,99
1481954103068,95
1481954103460,77
1481954103872,102
1481954104090,108
1481954104468,94
1481954104680,92
1481954104905,92
1481954105257,90
1481954105664,103
1481954106071,103
1481954106459,83
1481954106672,90
1481954107053,88
1481954107260,82
1481954107654,84
1481954108050,79
1481954108251,74
1481954108463,84
1481954108723,92
1481954109049,86
1481954109448,73
1481954109649,78
1481954110092,87
1481954110466,80
1481954110727,79
1481954111046,108
1481954111462,118
1481954111847,102
1481954112063,87
1481954112445,89
1481954112873,108
1481954113244,80
1481954113465,83
1481954113842,138
1481954114049,103
1481954114438,82
1481954114697,77
1481954115039,73
1481954115450,91
1481954115836,85
