,timestamp,mx,my,mz,mAc
0,5000.0,73.19,6.65,80.15,ACCURACY_BAD
1,5100.0,73.19,6.65,80.15,ACCURACY_BAD
2,5200.0,73.19,6.65,80.15,ACCURACY_BAD
3,5300.0,71.09,-8.34,79.5,ACCURACY_BAD
4,5400.0,67.61,-16.5,77.63,ACCURACY_BAD
5,5500.0,67.61,-16.5,75.47,ACCURACY_BAD
6,5600.0,69.0,-17.45,73.73,ACCURACY_BAD
7,5700.0,66.23,-13.85,76.31,ACCURACY_BAD
8,5800.0,64.13,-7.91,78.23,ACCURACY_BAD
9,5900.0,64.13,-3.11,79.13,ACCURACY_BAD
10,6000.0,66.23,3.11,77.58,ACCURACY_BAD
11,6100.0,68.33,5.51,79.13,ACCURACY_BAD
12,6200.0,70.43,7.85,74.22,ACCURACY_BAD
13,6300.0,73.91,15.71,70.31,ACCURACY_BAD
14,6400.0,75.29,19.55,69.47,ACCURACY_BAD
15,6500.0,76.68,20.27,69.72,ACCURACY_BAD
16,6600.0,77.4,21.11,69.23,ACCURACY_BAD
17,6700.0,78.05,21.11,69.23,ACCURACY_BAD
18,6800.0,78.77,23.1,67.79,ACCURACY_BAD
19,6900.0,78.77,23.03,65.63,ACCURACY_BAD
20,7000.0,78.05,24.95,64.13,ACCURACY_BAD
21,7100.0,73.19,17.87,70.31,ACCURACY_BAD
22,7200.0,69.72,7.37,71.22,ACCURACY_BAD
23,7300.0,67.61,0.41,72.47,ACCURACY_BAD
24,7400.0,65.51,-1.97,70.97,ACCURACY_BAD
25,7500.0,64.86,-3.05,69.9,ACCURACY_BAD
26,7600.0,64.13,-7.25,69.29,ACCURACY_BAD
27,7700.0,66.23,-2.87,69.23,ACCURACY_BAD
28,7800.0,66.9,1.5,69.29,ACCURACY_BAD
29,7900.0,69.0,7.13,69.65,ACCURACY_BAD
30,8000.0,70.43,12.11,67.79,ACCURACY_BAD
31,8100.0,75.29,17.15,65.87,ACCURACY_BAD
32,8200.0,78.05,14.88,63.71,ACCURACY_BAD
33,8300.0,78.05,13.61,61.13,ACCURACY_BAD
34,8400.0,78.77,14.21,61.31,ACCURACY_BAD
