,Unnamed: 0,timestamp,mx,my,mz,mAc
0,0.0,5000.0,73.19,6.65,80.15,ACCURACY_BAD
1,1.0,5100.0,73.19,6.65,80.15,ACCURACY_BAD
2,2.0,5200.0,73.19,6.65,80.15,ACCURACY_BAD
3,3.0,5300.0,71.09,-8.34,79.5,ACCURACY_BAD
4,4.0,5400.0,67.61,-16.5,77.63,ACCURACY_BAD
5,5.0,5500.0,67.61,-16.5,75.47,ACCURACY_BAD
6,6.0,5600.0,69.0,-17.45,73.73,ACCURACY_BAD
7,7.0,5700.0,66.23,-13.85,76.31,ACCURACY_BAD
8,8.0,5800.0,64.13,-7.91,78.23,ACCURACY_BAD
9,9.0,5900.0,64.13,-3.11,79.13,ACCURACY_BAD
10,5.0,5500.0,67.61,-16.5,75.47,ACCURACY_BAD
11,6.0,5600.0,69.0,-17.45,73.73,ACCURACY_BAD
12,7.0,5700.0,66.23,-13.85,76.31,ACCURACY_BAD
13,8.0,5800.0,64.13,-7.91,78.23,ACCURACY_BAD
14,9.0,5900.0,64.13,-3.11,79.13,ACCURACY_BAD
15,10.0,6000.0,66.23,3.11,77.58,ACCURACY_BAD
16,11.0,6100.0,68.33,5.51,79.13,ACCURACY_BAD
17,12.0,6200.0,70.43,7.85,74.22,ACCURACY_BAD
18,13.0,6300.0,73.91,15.71,70.31,ACCURACY_BAD
19,14.0,6400.0,75.29,19.55,69.47,ACCURACY_BAD
20,10.0,6000.0,66.23,3.11,77.58,ACCURACY_BAD
21,11.0,6100.0,68.33,5.51,79.13,ACCURACY_BAD
22,12.0,6200.0,70.43,7.85,74.22,ACCURACY_BAD
23,13.0,6300.0,73.91,15.71,70.31,ACCURACY_BAD
24,14.0,6400.0,75.29,19.55,69.47,ACCURACY_BAD
25,15.0,6500.0,76.68,20.27,69.72,ACCURACY_BAD
26,16.0,6600.0,77.4,21.11,69.23,ACCURACY_BAD
27,17.0,6700.0,78.05,21.11,69.23,ACCURACY_BAD
28,18.0,6800.0,78.77,23.1,67.79,ACCURACY_BAD
29,19.0,6900.0,78.77,23.03,65.63,ACCURACY_BAD
30,15.0,6500.0,76.68,20.27,69.72,ACCURACY_BAD
31,16.0,6600.0,77.4,21.11,69.23,ACCURACY_BAD
32,17.0,6700.0,78.05,21.11,69.23,ACCURACY_BAD
33,18.0,6800.0,78.77,23.1,67.79,ACCURACY_BAD
34,19.0,6900.0,78.77,23.03,65.63,ACCURACY_BAD
35,20.0,7000.0,78.05,24.95,64.13,ACCURACY_BAD
36,21.0,7100.0,73.19,17.87,70.31,ACCURACY_BAD
37,22.0,7200.0,69.72,7.37,71.22,ACCURACY_BAD
38,23.0,7300.0,67.61,0.41,72.47,ACCURACY_BAD
39,24.0,7400.0,65.51,-1.97,70.97,ACCURACY_BAD
40,20.0,7000.0,78.05,24.95,64.13,ACCURACY_BAD
41,21.0,7100.0,73.19,17.87,70.31,ACCURACY_BAD
42,22.0,7200.0,69.72,7.37,71.22,ACCURACY_BAD
43,23.0,7300.0,67.61,0.41,72.47,ACCURACY_BAD
44,24.0,7400.0,65.51,-1.97,70.97,ACCURACY_BAD
45,25.0,7500.0,64.86,-3.05,69.9,ACCURACY_BAD
46,26.0,7600.0,64.13,-7.25,69.29,ACCURACY_BAD
47,27.0,7700.0,66.23,-2.87,69.23,ACCURACY_BAD
48,28.0,7800.0,66.9,1.5,69.29,ACCURACY_BAD
49,29.0,7900.0,69.0,7.13,69.65,ACCURACY_BAD
50,25.0,7500.0,64.86,-3.05,69.9,ACCURACY_BAD
51,26.0,7600.0,64.13,-7.25,69.29,ACCURACY_BAD
52,27.0,7700.0,66.23,-2.87,69.23,ACCURACY_BAD
53,28.0,7800.0,66.9,1.5,69.29,ACCURACY_BAD
54,29.0,7900.0,69.0,7.13,69.65,ACCURACY_BAD
55,30.0,8000.0,70.43,12.11,67.79,ACCURACY_BAD
56,31.0,8100.0,75.29,17.15,65.87,ACCURACY_BAD
57,32.0,8200.0,78.05,14.88,63.71,ACCURACY_BAD
58,33.0,8300.0,78.05,13.61,61.13,ACCURACY_BAD
59,34.0,8400.0,78.77,14.21,61.31,ACCURACY_BAD
60,30.0,8000.0,70.43,12.11,67.79,ACCURACY_BAD
61,31.0,8100.0,75.29,17.15,65.87,ACCURACY_BAD
62,32.0,8200.0,78.05,14.88,63.71,ACCURACY_BAD
63,33.0,8300.0,78.05,13.61,61.13,ACCURACY_BAD
64,34.0,8400.0,78.77,14.21,61.31,ACCURACY_BAD
65,35.0,8500.0,77.4,10.73,63.05,ACCURACY_BAD
66,36.0,8600.0,76.01,9.89,63.53,ACCURACY_BAD
67,37.0,8700.0,76.01,8.51,63.05,ACCURACY_BAD
68,38.0,8800.0,76.01,7.73,63.47,ACCURACY_BAD
69,39.0,8900.0,78.05,11.15,61.79,ACCURACY_BAD
70,35.0,8500.0,77.4,10.73,63.05,ACCURACY_BAD
71,36.0,8600.0,76.01,9.89,63.53,ACCURACY_BAD
72,37.0,8700.0,76.01,8.51,63.05,ACCURACY_BAD
73,38.0,8800.0,76.01,7.73,63.47,ACCURACY_BAD
74,39.0,8900.0,78.05,11.15,61.79,ACCURACY_BAD
75,40.0,9000.0,76.68,12.47,62.21,ACCURACY_BAD
76,41.0,9100.0,72.47,12.96,65.22,ACCURACY_BAD
77,42.0,9200.0,67.61,4.67,66.05,ACCURACY_BAD
78,43.0,9300.0,64.13,-4.67,65.81,ACCURACY_BAD
79,44.0,9400.0,63.41,-7.55,61.37,ACCURACY_BAD
80,40.0,9000.0,76.68,12.47,62.21,ACCURACY_BAD
81,41.0,9100.0,72.47,12.96,65.22,ACCURACY_BAD
82,42.0,9200.0,67.61,4.67,66.05,ACCURACY_BAD
83,43.0,9300.0,64.13,-4.67,65.81,ACCURACY_BAD
84,44.0,9400.0,63.41,-7.55,61.37,ACCURACY_BAD
